labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
M6_01,	2,	0.285320656,	175.9487954,	12.81421242,	2,	30.55461551,	2.462279219,	2021.167
M6_02,	3,	0.311845916,	138.4306002,	15.28884487,	1,	36.09667141,	3.189012271,	3
M6_03,	4,	0.291914121,	120.3843313,	15.8656166,	1,	34.32874436,	3.192336577,	2
M6_04,	6,	0.2860663,	91.27860213,	10.32661797,	2,	25.72213899,	2.047663697,	
M6_05,	8,	0.299983735,	102.3507901,	13.38696252,	2,	31.25719952,	2.979815585,	
M6_06,	10,	0.335116078,	96.59769574,	12.06194551,	2,	34.23662529,	2.537625054,	
M6_07,	12,	0.354135689,	96.14565515,	15.40769132,	2,	31.20998865,	2.920208959,	
M6_08,	14,	0.337712586,	80.70332836,	12.34785977,	2,	38.108584,	2.751602153,	
M6_09,	16,	0.366758655,	55.31846727,	11.80907616,	2,	33.81999365,	3.239617347,	
M6_10,	18,	0.40008177,	33.12225458,	8.392478491,	2,	35.24652281,	2.212186272,	
M6_11,	20,	0.43263653,	56.27286328,	11.16410755,	2,	37.81108767,	3.025925621,	
M6_12,	22,	0.48652732,	32.38623949,	7.896318613,	2,	38.36254493,	2.302536009,	
M6_13,	24,	0.533718664,	40.25257958,	9.929013762,	2,	35.6709978,	2.892321686,	
M6_14,	26,	0.641598653,	23.69243981,	6.261714973,	2,	31.55949919,	2.245447895,	
M6_15,	28,	0.630663796,	14.99281737,	7.749296734,	2,	34.41160939,	2.831712952,	
M6_16,	30,	0.623033242,	48.86759776,	10.97616768,	2,	39.94019198,	2.76973026,	
M6_17,	32,	0.70565216,	20.93061067,	8.08247232,	2,	33.91712913,	2.680171857,	
M6_18,	34,	0.674039864,	32.26093835,	9.151899783,	2,	41.05171733,	2.529456093,	
M6_19,	36,	0.668059568,	25.64846652,	10.97500532,	2,	35.08630704,	2.753279502,	
M6_20,	38,	0.675693908,	61.72741666,	8.558576043,	2,	29.47486245,	1.963851082,	
M6_21,	40,	0.736662642,	15.87186887,	8.094859284,	2,	36.41141237,	2.778851741,	
M6_22,	42,	0.793259704,	19.06564321,	5.804821421,	2,	31.86542567,	2.002116943,	
M6_23,	44,	0.946858674,	24.82917824,	9.295448675,	2,	35.39164927,	2.759628614,	
M6_24,	46,	0.773872949,	32.02834677,	8.819735022,	2,	34.89479202,	2.462662639,	
M6_25,	48,	1.206717654,	29.88135252,	10.22831862,	2,	30.74762536,	2.736568799,	
M6_26,	50,	1.23179326,	37.33800964,	8.815594851,	2,	36.58986885,	2.295273648,	
