depth	min	max	median	mean
0	2021.1	2021.2	2021.1	2021.1
1	2004.9	2019.6	2015.3	2014.5
2	1994.6	2017.2	2009.2	2008.4
3	1984.5	2013.9	2003.4	2002.4
4	1976.2	2010.5	1997.6	1996.5
5	1967.1	2006.6	1992.1	1990.6
6	1958.6	2002.5	1986.3	1984.7
7	1950.1	1998.4	1980.4	1978.7
8	1941.3	1993.8	1974.5	1972.8
9	1934.1	1989.2	1968.8	1966.9
10	1924.9	1984.8	1963.2	1960.9
11	1917.2	1979.6	1957.1	1954.8
12	1908.5	1975.2	1951.5	1948.8
13	1899.6	1970.4	1945.5	1942.6
14	1891.2	1964.7	1939.1	1936.3
15	1883.7	1958.8	1932.3	1929.5
16	1874.2	1952.3	1923.6	1920.9
17	1862.9	1945.7	1914.3	1911.6
18	1850.1	1939.2	1904.8	1902
19	1836.2	1932.1	1894.8	1892.1
20	1821.8	1925.2	1884.9	1882
21	1810	1918.1	1874.9	1871.9
22	1795.8	1910.2	1864.7	1861.7
23	1783.9	1903.1	1854.5	1851.7
24	1772	1894.9	1844.3	1841.6
25	1759	1887.2	1834.4	1831.5
26	1749	1878.8	1824.4	1821.4
27	1737.8	1870.7	1814.2	1811.2
28	1725.9	1861.6	1803.5	1800.8
29	1712.5	1852.2	1792.9	1790.5
30	1699.3	1844	1783.3	1780.4
31	1687.6	1835.9	1773.6	1770.4
32	1674.6	1827.4	1763.3	1760.3
33	1663.6	1817.7	1753.5	1750.4
34	1653.1	1809.5	1743.2	1740.2
35	1641.3	1801.3	1732.5	1730
36	1629.9	1793.4	1722.3	1719.8
37	1619	1785.2	1712.1	1709.7
38	1604.3	1775.7	1701.7	1698.6
39	1594.4	1767.8	1693.3	1689.9
40	1572.1	1755.5	1676.4	1672.7
41	1558.1	1745.3	1663.4	1660.8
42	1545.3	1736.1	1652.6	1649.8
43	1533.4	1727.7	1642.2	1639.2
44	1523.3	1720.1	1631.3	1628.7
