depth	min	max	median	mean
0	2021.1	2021.2	2021.2	2021.2
1	2015.5	2019.2	2017.8	2017.7
2	2011.4	2015.5	2013.7	2013.6
3	2003.6	2010.9	2007.8	2007.7
4	1996	2006.5	2001.8	2001.7
5	1992.1	2004	1999	1998.7
6	1988.3	2001.4	1996.1	1995.8
7	1983.7	1998.4	1992.5	1992.2
8	1978.7	1995.1	1988.5	1988.1
9	1972.4	1991.2	1983.8	1983.2
10	1966.4	1986.9	1978.5	1978
11	1959.2	1981.9	1972.3	1971.8
12	1952	1976.7	1965.8	1965.3
13	1943.2	1971.1	1958.9	1958.4
14	1935.2	1965.7	1952.4	1951.8
15	1926.1	1960.8	1946	1945.6
16	1918.7	1955.7	1939.5	1939.2
17	1910.1	1952.1	1933.7	1933.4
18	1903.2	1947.3	1928.1	1927.6
19	1894.4	1941.8	1921.4	1920.6
20	1886.3	1936	1913.8	1913.5
21	1878.8	1931.1	1907.3	1906.9
22	1870.8	1925.6	1900.8	1900.3
23	1862.5	1919.1	1893.8	1893.4
24	1854	1913.1	1887.7	1886.7
25	1847.3	1907.8	1880.6	1880.2
26	1840	1902.6	1874.4	1873.9
27	1833.8	1897.9	1867.8	1867.4
28	1827.2	1891.7	1861.3	1861
29	1820.4	1885.4	1854.7	1854.3
30	1813.3	1879.2	1848.4	1847.7
31	1806.5	1872.7	1841.6	1841.1
32	1801.1	1866.6	1835	1834.5
33	1794.4	1860.3	1828.1	1827.8
34	1787.2	1853.2	1821.2	1821
35	1781.9	1846.5	1814.7	1814.3
36	1775.2	1840.6	1807.9	1807.6
37	1769.2	1832.6	1800.9	1800.9
38	1762.9	1827	1794.3	1794.2
39	1755.8	1820.7	1787	1787.5
40	1750.7	1814.3	1780.1	1780.9
41	1745.3	1806	1773.6	1774.4
42	1739.8	1798.6	1766.8	1767.6
43	1733.6	1791.4	1759.8	1760.9
44	1728.5	1784.9	1753	1754.1
45	1723.4	1777.4	1746.4	1747.4
46	1718.3	1769.5	1739.6	1740.8
47	1713.8	1762	1733.2	1734.4
48	1709.4	1755.9	1726.4	1728
49	1705.3	1749.2	1719.3	1721.6
50	1700.4	1743.6	1712.2	1715
