depth	min	max	median	mean
0	2021.1	2021.2	2021.1	2021.1
1	2015.8	2019.2	2017.9	2017.8
2	2011.7	2015.6	2014	2013.9
3	2004.5	2011.1	2008.2	2008.1
4	1996.8	2006.4	2002	2001.9
5	1992.8	2003.9	1999	1998.8
6	1989.3	2001.3	1996	1995.9
7	1984.6	1998.3	1992.5	1992.2
8	1979.5	1995	1988.4	1988.1
9	1972.8	1991	1983.5	1983.1
10	1966.1	1986.5	1978.2	1977.7
11	1958.4	1981.7	1972.1	1971.6
12	1951.1	1976.4	1965.9	1965.3
13	1942.9	1971.1	1958.9	1958.4
14	1934.7	1965.6	1952.2	1951.7
15	1927.8	1960.9	1946.2	1945.7
16	1919.6	1956.5	1940.1	1939.5
17	1911.8	1952.4	1934.5	1933.9
18	1904.4	1948.3	1928.9	1928.2
19	1895.9	1943.2	1922.2	1921.5
20	1887.7	1937.2	1915	1914.3
21	1879.1	1931.6	1907.8	1907.4
22	1871.4	1925.7	1900.8	1900.5
23	1862.7	1919.9	1893.7	1893.4
24	1855.3	1913.8	1886.8	1886.2
25	1848.5	1908	1880.2	1879.6
26	1842.3	1903.1	1873.4	1873
27	1835.2	1897	1866.5	1866.5
28	1828.2	1890.9	1859.6	1859.9
29	1820.7	1884.9	1852.8	1853.2
30	1814.4	1879.1	1846.4	1846.7
31	1808	1873.7	1839.6	1840.1
32	1801	1867.8	1833.2	1833.6
33	1794.5	1861.1	1826.4	1827
34	1787.7	1854.9	1820	1820.3
35	1781.5	1847.9	1813.3	1813.7
36	1775.5	1841.3	1806.5	1807
37	1769	1834.4	1799.5	1800.3
38	1762.2	1827.3	1793	1793.7
39	1756.4	1820.4	1786.3	1787
40	1750.5	1814.4	1779.2	1780.3
41	1745.1	1807.3	1772.5	1773.7
42	1739.8	1800.5	1766	1767.1
43	1734.3	1793.3	1759	1760.4
44	1728.6	1786.1	1752.3	1753.6
45	1723.5	1778.9	1745.7	1747
46	1718.4	1771.8	1739	1740.5
47	1713.4	1764.2	1732.4	1733.9
48	1708.8	1757.4	1725.3	1727.3
49	1704.5	1750.2	1718.6	1720.8
50	1700.2	1743.7	1711.6	1714.4
