depth	min	max	median	mean
0	2019.9	2019.9	2019.9	2019.9
1	2014	2017.9	2016.4	2016.3
2	2009.4	2014.2	2012.2	2012.1
3	2001.7	2009	2005.9	2005.8
4	1992.1	2002.9	1997.8	1997.7
5	1985.8	1998.6	1992.8	1992.7
6	1981.5	1994.2	1988.3	1988.2
7	1976.8	1989.7	1983.5	1983.4
8	1972.2	1984.5	1978.6	1978.6
9	1967.7	1979.5	1973.5	1973.5
10	1964	1973.2	1968.3	1968.3
11	1960	1965.6	1962.9	1962.8
12	1950.2	1961.7	1956.9	1956.7
13	1940.1	1958.3	1951	1950.5
14	1931	1954.7	1945	1944.4
15	1921.9	1950.6	1939.2	1938.4
16	1913.7	1946.6	1933.1	1932.3
17	1904.7	1942.5	1926.9	1926.1
18	1897	1938.2	1920.8	1919.9
19	1889.8	1933.1	1914.6	1913.6
20	1882.6	1927.8	1908	1907.2
21	1875.2	1922.8	1901.5	1900.9
22	1867.9	1917.9	1895.3	1894.5
23	1859.8	1912.9	1889.1	1888.3
24	1852.9	1907.9	1882.5	1882
25	1845.3	1902.2	1876.2	1875.6
26	1838.7	1896.5	1869.7	1869.2
27	1832.4	1891.1	1863.2	1862.9
28	1825.4	1885.5	1856.9	1856.5
29	1818.8	1879.4	1850.2	1850.2
30	1812.2	1873.9	1844	1843.9
31	1805.6	1867.6	1837.8	1837.6
32	1799.4	1861.7	1831.4	1831.4
33	1793.2	1856.2	1825.1	1825.1
34	1787.2	1849.9	1818.5	1818.9
35	1781.1	1844.1	1812.1	1812.7
36	1775.2	1838.4	1806.2	1806.5
37	1769.7	1831.8	1799.8	1800.3
38	1764.2	1826.3	1793.6	1794.1
39	1758.7	1820.1	1787.4	1787.9
40	1753.4	1813.4	1780.9	1781.6
41	1747.9	1806.5	1774.6	1775.4
42	1742.5	1799.9	1768.3	1769.1
43	1737.6	1793.7	1761.8	1763
44	1732.4	1787	1755.8	1756.8
45	1728.1	1780.7	1749.3	1750.7
46	1723	1774.1	1743.2	1744.4
47	1718.5	1766.7	1736.8	1738.2
48	1714	1759	1730.3	1732
49	1709.8	1751.1	1723.9	1725.8
50	1705.8	1745.2	1717.5	1719.7
