depth	min	max	median	mean
0	2021.1	2021.2	2021.2	2021.2
1	2008.8	2019.4	2015.8	2015.4
2	2001.3	2016.7	2010.4	2010.2
3	1995.5	2013.5	2005.6	2005.4
4	1989.9	2009.9	2000.7	2000.6
5	1985.6	2005.3	1995.8	1995.8
6	1981.4	2000.6	1991.2	1991.1
7	1977.8	1995.8	1986.4	1986.5
8	1974.5	1990.2	1981.9	1982
9	1971.7	1984.3	1977.6	1977.7
10	1968.9	1978.8	1973.4	1973.5
11	1966	1974.5	1969.9	1970
12	1962.8	1969.4	1965.8	1965.9
13	1956.1	1963.2	1959.9	1959.8
14	1944	1958.5	1952.7	1952.3
15	1934.5	1954.3	1946.3	1945.8
16	1926	1949.3	1940	1939.4
17	1916.6	1944.6	1932.8	1932.3
18	1907.6	1939.4	1925.5	1925.1
19	1898.3	1934.6	1918.3	1917.9
20	1888.5	1930.2	1911.6	1911
21	1880.8	1925.3	1905.3	1904.7
22	1873.1	1921	1898.9	1898.7
23	1866	1916.6	1893	1892.8
24	1858.8	1911.9	1887.2	1886.9
25	1851.5	1907.2	1881.2	1880.7
26	1843.1	1901.4	1874.6	1874.1
27	1836.1	1895.5	1867.5	1867.2
28	1828.5	1888.7	1860.5	1860.2
29	1821	1882	1853.3	1853.3
30	1814.4	1876.1	1846.4	1846.4
31	1807.1	1870.4	1839.8	1839.8
32	1799.6	1864.2	1833.3	1833.2
33	1793.1	1857.1	1826.8	1826.6
34	1785.7	1851.1	1820.2	1820
35	1778.7	1845.7	1813.5	1813.5
36	1773.2	1839.6	1807	1807
37	1766.9	1832.6	1800.5	1800.5
38	1760.3	1826.1	1793.7	1793.9
39	1753.5	1820	1787.5	1787.5
40	1747.8	1813.7	1780.8	1781.1
41	1743	1808.3	1774.6	1774.7
42	1737.8	1800.7	1767.8	1768.1
43	1731.1	1794.2	1761	1761.6
44	1724.5	1787.3	1754.7	1755.1
45	1718.8	1781.2	1748.1	1748.4
46	1713.6	1774.5	1741.3	1741.7
47	1707.3	1767.4	1734.7	1735
48	1701.9	1760.6	1727.6	1728.4
49	1697.2	1753.1	1721.1	1721.8
50	1691.8	1746.4	1714.1	1715.3
51	1687	1739.3	1707.4	1709
52	1682.1	1731.8	1701.3	1702.8
53	1677.8	1725.8	1695.2	1696.7
54	1672.4	1719.4	1688.8	1690.5
