depth	min	max	median	mean
0	2021.1	2021.2	2021.1	2021.1
1	2008.7	2019.3	2015.9	2015.5
2	2001.4	2016.6	2010.6	2010.3
3	1995.2	2013.4	2005.6	2005.3
4	1990	2010	2000.7	2000.5
5	1985.5	2005.8	1996	1995.8
6	1981.4	2001.3	1991.1	1991.2
7	1977.9	1996	1986.4	1986.5
8	1974.7	1990.8	1981.7	1981.9
9	1971.7	1984.8	1977.4	1977.6
10	1968.5	1978.5	1973.3	1973.3
11	1965.7	1974.2	1969.8	1969.8
12	1962.4	1969.1	1965.8	1965.8
13	1956.4	1963.2	1960	1960
14	1944.5	1958.5	1953	1952.6
15	1933.5	1954.1	1946.3	1945.6
16	1925.5	1949.6	1939.7	1939.1
17	1915.9	1944.9	1933.3	1932.4
18	1907.2	1940.3	1926.5	1925.6
19	1898	1935.1	1919.1	1918.4
20	1887.9	1930.5	1912.2	1911.4
21	1880.8	1926.1	1905.9	1905.2
22	1873.8	1921.6	1900	1899.2
23	1866.2	1917.3	1894.4	1893.6
24	1859.1	1913.4	1888.7	1888
25	1851.4	1908.7	1882.6	1882
26	1845	1903.2	1876.3	1875.8
27	1837.3	1897.6	1869.6	1869.2
28	1830.2	1891.7	1862.7	1862.3
29	1823.2	1884.9	1855.9	1855.5
30	1816.4	1879	1849.1	1848.8
31	1809.8	1873.5	1842.8	1842.3
32	1802.6	1867.4	1836.3	1835.8
33	1796.3	1861.9	1829.5	1829.3
34	1789.3	1855.6	1823	1822.8
35	1783.3	1849	1816.6	1816.3
36	1776.8	1842.9	1810	1809.7
37	1770.5	1836.7	1803.1	1803.1
38	1764.8	1830.6	1796.3	1796.6
39	1758.3	1823.7	1789.7	1790.1
40	1752.2	1817.5	1783	1783.5
41	1746.3	1810.8	1776.5	1777
42	1740	1804.8	1769.8	1770.5
43	1733.6	1797.8	1763.3	1764.1
44	1727.7	1791	1756.9	1757.6
45	1722	1785.2	1750.3	1751.2
46	1716.1	1777.5	1743.9	1744.8
47	1710.7	1771.1	1737.4	1738.4
48	1705.1	1764.4	1730.9	1731.9
49	1700	1757.5	1724.4	1725.4
50	1695.1	1750.4	1718	1719
51	1690.6	1742.3	1711.2	1712.6
52	1685.6	1735.4	1704.7	1706.2
53	1680.4	1728.8	1698.3	1699.9
54	1675	1722.7	1691.9	1693.7
