"","year","location","POM_mgN","POM_mgC","volume"
"10",2017,"Narragansett Bay",0.0167152523644252,0.0544294012710292,400
"3",2022,"Narragansett Bay",0.0268819260711937,0.0972685621758741,400
"1",2022,"Narragansett Bay",0.0131161040740848,0.0478292030547912,400
"42",2022,"Academy Cove",0.0198035770012383,0.0651258488487984,100
"29",2017,"Narragansett Bay",0.0232271850996108,0.0728055640716695,400
"23",2017,"Narragansett Bay",0.0135852912300488,0.0454138677325031,400
"56",2022,"Academy Cove",0.0536407609848171,0.114483248575861,100
"19",2017,"Narragansett Bay",0.0239621749797877,0.0887419791868226,400
"24",2017,"Narragansett Bay",0.0193123745310395,0.083213247898292,400
"22",2017,"Narragansett Bay",0.0166487510443787,0.0429130175986188,400
"49",2022,"Academy Cove",0.0542406702292404,0.163558355758704,100
"47",2022,"Academy Cove",0.0670234534666652,0.254035227505226,100
"12",2017,"Narragansett Bay",0.0283756626697807,0.0966815716078915,400
"36",2022,"Narragansett Bay",0.0216257505056175,0.0942344453720835,400
"28",2017,"Narragansett Bay",0.014059076789017,0.0652285684795802,400
"6",2022,"Narragansett Bay",0.0079532856025937,0.0244344659535662,400
"13",2022,"Narragansett Bay",0.0165373196080752,0.0729517253573154,400
"51",2022,"Academy Cove",0.0330844634534265,0.0824314459216295,100
"20",2022,"Narragansett Bay",0.0156268752474703,0.0416813702800113,400
"4",2017,"Narragansett Bay",0.0161288764911494,0.0619472156289015,400
"45",2022,"Academy Cove",0.0481683664158716,0.133154517543531,100
"26",2017,"Narragansett Bay",0.022091567943815,0.0793875986436698,400
"35",2017,"Narragansett Bay",0.0195265936396017,0.0689288165160073,400
"27",2017,"Narragansett Bay",0.0182428134759678,0.0693957618263703,400
"50",2022,"Academy Cove",0.0394989930956672,0.129218700839089,100
"31",2022,"Narragansett Bay",0.0243026028745155,0.0834053807649854,400
"16",2022,"Narragansett Bay",0.0218420521015957,0.089158033906957,400
"52",2022,"Academy Cove",0.0629365113663226,0.233667308747203,100
"48",2022,"Academy Cove",0.0549309607976406,0.15977014117358,100
"32",2022,"Narragansett Bay",0.0109924444954173,0.0377787054238301,400
"40",2022,"Academy Cove",0.0570585436995537,0.160405723845328,100
"34",2017,"Narragansett Bay",0.0159130200781914,0.0550365768399277,400
"5",2022,"Narragansett Bay",0.0108818153438869,0.0417631549156234,400
"53",2022,"Academy Cove",0.0648773876647896,0.167604818535699,100
"46",2022,"Academy Cove",0.0466420983774731,0.130331293271697,100
"14",2017,"Narragansett Bay",0.0188371779867425,0.0561673107974443,400
"21",2022,"Narragansett Bay",0.0135614283778201,0.0615278920968516,400
"18",2017,"Narragansett Bay",0.00837449796293565,0.0269123830502315,400
"25",2022,"Narragansett Bay",0.0225049476998593,0.0931717982471667,400
"33",2017,"Narragansett Bay",0.0153565806219008,0.0653074338333644,400
"39",2022,"Academy Cove",0.0465219737889104,0.14419290236807,100
"9",2017,"Narragansett Bay",0.00612575650819447,0.0253143493221399,400
"37",2017,"Narragansett Bay",0.0176366222057955,0.0744820138853427,400
"15",2022,"Narragansett Bay",0.00656661279689845,0.0222165494904594,400
"55",2022,"Academy Cove",0.0458603471133645,0.142176010252217,100
"11",2022,"Narragansett Bay",0.0155620626542507,0.0664243493799786,400
"17",2017,"Narragansett Bay",0.013630747548121,0.0537825823839256,400
"41",2022,"Academy Cove",0.0494587632726934,0.15599774140461,100
"7",2022,"Narragansett Bay",0.0206360670528661,0.071111470247029,400
"43",2022,"Academy Cove",0.0468076533912753,0.122078653418938,100
"54",2022,"Academy Cove",0.0615712102728441,0.191447050201051,100
"30",2017,"Narragansett Bay",0.0181711774022597,0.0563633965530891,400
"2",2017,"Narragansett Bay",0.016525104983981,0.0506857455273132,400
"38",2022,"Academy Cove",0.0400777606470385,0.118263815030839,100
"44",2022,"Academy Cove",0.0183693076294351,0.0390075308205158,100
"8",2022,"Narragansett Bay",0.012520941932521,0.0490710648055617,400
