location,depth.cm,date.bottom,date.uncertainty
North,0,2020.920765,0
North,2,2011.61633,2.752056427
North,3,2006.749518,3.181935097
North,4,2001.050691,3.766450634
North,6,1991.012126,5.048504475
North,8,1979.631758,6.98171923
North,10,1967.954546,9.628997203
North,12,1949.084145,15.69131447
North,14,1926.905203,26.16484308
North,16,1926.375864,26.46140817
North,18,1920.277364,30.03210797
North,20,1909.066337,37.30737617
Middle,0,2020.920765,0
Middle,2,2014.2817,2.52450761
Middle,3,2011.119538,2.77543207
Middle,4,2008.410596,3.009224911
Middle,6,2003.756112,3.455360645
Middle,8,1997.542878,4.149044502
Middle,10,1990.415037,5.104651121
Middle,12,1979.377485,6.989602493
Middle,14,1971.657714,8.656996581
Middle,16,,
Middle,18,1964.029286,10.63474246
Middle,20,,
Middle,22,1955.613456,13.24496138
Middle,24,,
Middle,26,,
Middle,28,,
Middle,30,,
Middle,32,,
Middle,34,,
Middle,36,,
South,0,2020.920765,0
South,2,2014.123423,4.832246309
South,3,2010.254768,5.403000224
South,4,2006.168786,6.072479189
South,6,1999.942792,7.237936082
South,8,1991.493171,9.136335289
South,10,,
South,12,,
South,14,1983.623297,11.27722016
South,16,1980.675076,12.18090609
South,18,1971.502007,15.37631586
South,20,,
South,22,,
South,24,,
South,26,,
South,28,,
South,30,1952.572518,23.95739991
South,32,,
South,34,,
