"","Depth","Grainsize","Percentage","Class","Location","Core"
"1",0,0.01,0,"Clay","North","AC2"
"2",0,0.0114,0,"Clay","North","AC2"
"3",0,0.0129,0,"Clay","North","AC2"
"4",0,0.0147,0,"Clay","North","AC2"
"5",0,0.0167,0,"Clay","North","AC2"
"6",0,0.0189,0,"Clay","North","AC2"
"7",0,0.0215,0,"Clay","North","AC2"
"8",0,0.0244,0,"Clay","North","AC2"
"9",0,0.0278,0,"Clay","North","AC2"
"10",0,0.0315,0,"Clay","North","AC2"
"11",0,0.0358,0,"Clay","North","AC2"
"12",0,0.0407,0,"Clay","North","AC2"
"13",0,0.0463,0,"Clay","North","AC2"
"14",0,0.0526,0,"Clay","North","AC2"
"15",0,0.0597,0,"Clay","North","AC2"
"16",0,0.0679,0,"Clay","North","AC2"
"17",0,0.0771,0,"Clay","North","AC2"
"18",0,0.0876,0,"Clay","North","AC2"
"19",0,0.0995,0,"Clay","North","AC2"
"20",0,0.113,0,"Clay","North","AC2"
"21",0,0.128,0,"Clay","North","AC2"
"22",0,0.146,0,"Clay","North","AC2"
"23",0,0.166,0,"Clay","North","AC2"
"24",0,0.188,0,"Clay","North","AC2"
"25",0,0.214,0,"Clay","North","AC2"
"26",0,0.243,0,"Clay","North","AC2"
"27",0,0.276,0,"Clay","North","AC2"
"28",0,0.314,0,"Clay","North","AC2"
"29",0,0.357,0,"Clay","North","AC2"
"30",0,0.405,0,"Clay","North","AC2"
"31",0,0.46,0,"Clay","North","AC2"
"32",0,0.523,0,"Clay","North","AC2"
"33",0,0.594,0,"Clay","North","AC2"
"34",0,0.675,0,"Clay","North","AC2"
"35",0,0.767,0,"Clay","North","AC2"
"36",0,0.872,0,"Clay","North","AC2"
"37",0,0.991,0,"Clay","North","AC2"
"38",0,1.13,0,"Clay","North","AC2"
"39",0,1.28,0,"Clay","North","AC2"
"40",0,1.45,0,"Clay","North","AC2"
"41",0,1.65,0,"Clay","North","AC2"
"42",0,1.88,0,"Clay","North","AC2"
"43",0,2.13,0,"V.F. Silt","North","AC2"
"44",0,2.42,0,"V.F. Silt","North","AC2"
"45",0,2.75,0,"V.F. Silt","North","AC2"
"46",0,3.12,0,"V.F. Silt","North","AC2"
"47",0,3.55,0.0333333333333333,"V.F. Silt","North","AC2"
"48",0,4.03,0.203333333333333,"F. Silt","North","AC2"
"49",0,4.58,0.415,"F. Silt","North","AC2"
"50",0,5.21,0.636666666666667,"F. Silt","North","AC2"
"51",0,5.92,0.826666666666667,"F. Silt","North","AC2"
"52",0,6.72,0.978333333333333,"F. Silt","North","AC2"
"53",0,7.64,1.11,"F. Silt","North","AC2"
"54",0,8.68,1.23166666666667,"M. Silt","North","AC2"
"55",0,9.86,1.35,"M. Silt","North","AC2"
"56",0,11.2,1.48333333333333,"M. Silt","North","AC2"
"57",0,12.7,1.64333333333333,"M. Silt","North","AC2"
"58",0,14.5,1.83333333333333,"M. Silt","North","AC2"
"59",0,16.4,2.06,"C. Silt","North","AC2"
"60",0,18.7,2.30833333333333,"C. Silt","North","AC2"
"61",0,21.2,2.57333333333333,"C. Silt","North","AC2"
"62",0,24.1,2.83333333333333,"C. Silt","North","AC2"
"63",0,27.4,3.07666666666667,"C. Silt","North","AC2"
"64",0,31.1,3.28666666666667,"V.C. Silt","North","AC2"
"65",0,35.3,3.46,"V.C. Silt","North","AC2"
"66",0,40.1,3.595,"V.C. Silt","North","AC2"
"67",0,45.6,3.69833333333333,"V.C. Silt","North","AC2"
"68",0,51.8,3.78833333333333,"V.C. Silt","North","AC2"
"69",0,58.9,3.88666666666667,"V.C. Silt","North","AC2"
"70",0,66.9,4.00833333333333,"V.F. Sand","North","AC2"
"71",0,76,4.15166666666667,"V.F. Sand","North","AC2"
"72",0,86.4,4.315,"V.F. Sand","North","AC2"
"73",0,98.1,4.47166666666667,"V.F. Sand","North","AC2"
"74",0,111,4.58,"V.F. Sand","North","AC2"
"75",0,127,4.60333333333333,"F. Sand","North","AC2"
"76",0,144,4.5,"F. Sand","North","AC2"
"77",0,163,4.25666666666667,"F. Sand","North","AC2"
"78",0,186,3.87,"F. Sand","North","AC2"
"79",0,211,3.35666666666667,"F. Sand","North","AC2"
"80",0,240,2.76666666666667,"F. Sand","North","AC2"
"81",0,272,2.15333333333333,"Sand","North","AC2"
"82",0,310,1.57833333333333,"Sand","North","AC2"
"83",0,352,1.095,"Sand","North","AC2"
