"","Location","Depth","%C.org","d13C.org","%N","d15N","%C.total","d13C.total","%C.inorg"
"1","Middle",0,7.46634400851393,-21.8087979232571,0.655493586700345,8.63831983509779,7.32971172773204,-21.9965870446638,-0.136632280781893
"2","Middle",1,5.87922299139839,-20.2425989564078,0.575813010571793,8.69621887519707,5.85254603462547,-20.4161870723246,-0.026676956772917
"3","Middle",2,5.34306723800455,-19.91,0.514470851936683,8.25,5.48264360372624,-20.0375,0.139576365721692
"4","Middle",3,4.98473494310297,-19.82,0.482474513413755,8.295,7.38683212084855,-19.87,2.40209717774558
"5","Middle",4,5.29643732563225,-20.2287412421976,0.480518003251878,8.81947019120594,5.0844791670847,-20.0865800245868,-0.211958158547549
"6","Middle",6,4.95712906706036,-20.03,0.464325056458908,8.21,7.02497528942887,-20.05,2.06784622236851
"7","Middle",8,4.94959277187896,-19.9078084196239,0.468720707174958,8.61127023802122,5.01493600157764,-20.2363269136876,0.0653432296986862
"8","Middle",10,4.77373068432671,-20.01,0.444864836978893,8.1,9.53840607275492,-20.19,4.76467538842821
"9","Middle",12,4.78682891497381,-19.9125914364386,0.415436443877482,8.5726869611582,4.65468725989309,-20.5681126365251,-0.132141655080715
"10","Middle",14,4.57290001775884,-20.24,0.364705558851378,8.315,6.38855971947716,-20.54,1.81565970171832
"11","Middle",16,4.47199738789078,-20.7121924751328,0.376220731487446,8.65873438495566,4.62464150068491,-21.0124517820564,0.152644112794134
"12","Middle",18,4.30640888337749,-21,0.333383811359399,8.2025,6.16019835972184,-20.92,1.85378947634435
"13","Middle",20,3.90802847363851,-21.2795932975799,0.290219360636102,8.54652017230014,4.1406133650512,-21.025289885722,0.232584891412695
"14","Middle",22,6.26017915309446,-20.83,0.229146623957665,7.925,11.1393520866159,-20.685,4.87917293352147
"15","Middle",24,3.06795162500999,-20.7162298389304,0.230654533502427,8.04853130755859,3.0421792988179,-20.2547229925666,-0.0257723261920941
"16","Middle",26,2.90988885178648,-20.18,0.201126752252012,7.165,3.09381483631612,-19.67,0.18392598452964
"17","Middle",28,2.84176050220042,-19.6866332336781,0.240071685680169,7.71494168466061,3.09325806533115,-20.2573126615712,0.251497563130726
"18","Middle",30,3.07267200884222,-17.83,0.215106527774155,6.41,3.06614150881597,-16.75,-0.00653050002624855
"19","Middle",32,2.42534830830117,-18.9635741914558,0.218510567548689,6.89001085940903,2.69795362336115,-18.7625346316081,0.272605315059978
"20","Middle",34,3.09233867101352,-14.03,0.193944709432224,6.275,3.22096947253378,-14.165,0.128630801520262
"21","Middle",36,2.58279028183227,-18.8370534177047,0.228495835353449,6.59678968732393,2.5943299292856,-18.6040061954391,0.0115396474533318
"22","Middle",38,2.91670999272122,-15.63,0.195476392668562,5.91,2.95078280800675,-15.2375,0.034072815285525
"23","Middle",40,2.49241624061802,-18.8976056941637,0.204182938048653,5.71049630272749,2.2929832992498,-18.505391760049,-0.199432941368213
"24","Middle",42,2.05558006175562,-19.31,0.161498950519495,4.36,2.046899985463,-19.2,-0.00868007629262069
"25","Middle",44,2.92003515819515,-18.9653939966786,0.230838403185303,4.98400462526423,2.65330098026693,-18.9619669802148,-0.266734177928222
"26","Middle",46,2.37387445607686,-19.86,0.189165349531879,3.815,2.40913549444374,-20.13,0.0352610383668837
"27","Middle",48,1.93108270971693,-20.6996360991078,0.12945971115971,4.14316508924388,1.96545558205644,-20.7612424432863,0.0343728723395129
"28","Middle",50,1.63349702765573,-23.13,0.0561024711080408,0.015,1.30732332608936,-22.845,-0.32617370156637
"29","Middle",52,2.39914642099595,-23.0281257141481,0.124695633727915,3.14653694646579,2.55968154425775,-23.202759727927,0.160535123261803
"30","North",0,6.3981604012845,-20.4638066979287,0.660737535638723,8.40327997851383,6.46293876331962,-20.1830710063795,0.0647783620351232
"31","North",1,6.03586511891086,-20.1841221486899,0.633340053177114,8.23996592190672,6.23939847866872,-20.2634715892858,0.203533359757851
"32","North",2,5.49947789766794,-21.2,0.523082655002773,7.875,5.52630937546862,-21.16,0.0268314778006742
"33","North",3,4.97641509433962,-21.04,0.452059540115076,7.955,5.03036834573921,-21.005,0.05395325139959
"34","North",4,4.71143427511446,-20.4107018325843,0.423215278873957,8.19226872740333,4.80533921739824,-20.337435208387,0.0939049422837801
"35","North",6,4.5881178232651,-20.89,0.393132357646145,8.055,9.0977306337262,-20.83,4.50961281046109
"36","North",8,4.71382577739858,-20.8625561555496,0.389392348568484,8.13055571814521,4.68390147867085,-20.7147809903072,-0.0299242987277379
"37","North",10,4.32821580362564,-20.54,0.359027630076976,8.08,6.42841506425521,-20.705,2.10019926062957
"38","North",12,4.02118374541259,-20.65580003875,0.327113394088071,8.28218100924376,3.96999524647733,-20.5220893708944,-0.0511884989352627
