GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,BL1AA,BL1AB,BL1AC,BL1AD,BL1AE,BL1AF,BL1AG,BL1AH,BL1AI,BL1AJ,BL1AK,BL1AL,BL1AAM,BL1ABM,BL1ACM,BL1ADM,BL1AEM,BL1AFM,BL1AGM,BL1AHM,BL1AIM,BL1AJM,BL1AKM,BL1ALM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Male ~ Never married,Persons: Male ~ Now married,Persons: Male ~ Now married--Not separated,Persons: Male ~ Now married--Separated,Persons: Male ~ Widowed,Persons: Male ~ Divorced,Persons: Female ~ Never married,Persons: Female ~ Now married,Persons: Female ~ Now married--Not separated,Persons: Female ~ Now married--Separated,Persons: Female ~ Widowed,Persons: Female ~ Divorced,Margin of error: Persons: Male ~ Never married,Margin of error: Persons: Male ~ Now married,Margin of error: Persons: Male ~ Now married--Not separated,Margin of error: Persons: Male ~ Now married--Separated,Margin of error: Persons: Male ~ Widowed,Margin of error: Persons: Male ~ Divorced,Margin of error: Persons: Female ~ Never married,Margin of error: Persons: Female ~ Now married,Margin of error: Persons: Female ~ Now married--Not separated,Margin of error: Persons: Female ~ Now married--Separated,Margin of error: Persons: Female ~ Widowed,Margin of error: Persons: Female ~ Divorced
"G010","1970","Alabama","01","010","Alabama",324572,792229,772606,19623,34715,29261,275636,811830,778553,33277,184697,46083,,,,,,,,,,,,
"G020","1970","Alaska","02","020","Alaska",38428,69046,67768,1278,1604,4579,18549,64164,63057,1107,3706,3488,,,,,,,,,,,,
"G040","1970","Arizona","04","040","Arizona",170463,410438,403552,6886,14944,21038,138097,415615,405075,10540,66501,33804,,,,,,,,,,,,
"G050","1970","Arkansas","05","050","Arkansas",170171,464000,454528,9472,23955,19079,136966,471706,457536,14170,109795,26281,,,,,,,,,,,,
"G060","1970","California","06","060","California",2102965,4611973,4488984,122989,170209,315630,1615599,4650621,4463319,187302,840889,505842,,,,,,,,,,,,
"G080","1970","Colorado","08","080","Colorado",230115,510105,501665,8440,17989,26060,185855,513986,501879,12107,84416,40124,,,,,,,,,,,,
"G090","1970","Connecticut","09","090","Connecticut",306085,706908,692637,14271,31302,21853,282764,716415,691586,24829,135972,36426,,,,,,,,,,,,
"G100","1970","Delaware","10","100","Delaware",52624,126479,122413,4066,5208,4496,46895,128619,122911,5708,23038,6824,,,,,,,,,,,,
"G110","1970","District Of Columbia","11","110","District Of Columbia",99908,142605,125662,16943,9814,10821,107641,148713,123136,25577,42730,18575,,,,,,,,,,,,
"G120","1970","Florida","12","120","Florida",596651,1687636,1642067,45569,81012,83596,488509,1713906,1646287,67619,379133,136575,,,,,,,,,,,,
"G130","1970","Georgia","13","130","Georgia",446917,1050444,1019145,31299,41282,42198,361065,1076020,1020240,55780,230014,64323,,,,,,,,,,,,
"G150","1970","Hawaii","15","150","Hawaii",104625,169920,167778,2142,6433,8198,68009,166596,164190,2406,19909,10098,,,,,,,,,,,,
"G160","1970","Idaho","16","160","Idaho",69395,169553,167692,1861,6142,8349,51747,170943,168396,2547,26682,9616,,,,,,,,,,,,
"G170","1970","Illinois","17","170","Illinois",1115952,2542632,2486837,55795,122803,108659,979395,2585385,2486573,98812,538338,170659,,,,,,,,,,,,
"G180","1970","Indiana","18","180","Indiana",477592,1222896,1206358,16538,49784,55706,409556,1236719,1211268,25451,231869,85923,,,,,,,,,,,,
"G190","1970","Iowa","19","190","Iowa",271540,665781,660244,5537,31358,21556,238852,671696,663704,7992,142256,32833,,,,,,,,,,,,
"G200","1970","Kansas","20","200","Kansas",223168,542632,536569,6063,22798,22475,177046,545329,536699,8630,111037,32255,,,,,,,,,,,,
"G210","1970","Kentucky","21","210","Kentucky",318856,757239,745046,12193,34636,31068,250950,763944,745258,18686,159840,46752,,,,,,,,,,,,
"G220","1970","Louisiana","22","220","Louisiana",370838,793188,765679,27509,36094,25765,311240,812674,765585,47089,173196,42990,,,,,,,,,,,,
"G230","1970","Maine","23","230","Maine",97253,227135,224170,2965,12156,10385,84104,229367,225107,4260,50078,15505,,,,,,,,,,,,
"G240","1970","Maryland","24","240","Maryland",392646,906860,869787,37073,36331,31050,337025,925354,871230,54124,164326,49062,,,,,,,,,,,,
"G250","1970","Massachusetts","25","250","Massachusetts",622162,1243732,1217981,25751,66891,41665,620295,1267521,1221539,45982,295504,72227,,,,,,,,,,,,
"G260","1970","Michigan","26","260","Michigan",872687,2021198,1976907,44291,84358,88150,753670,2051199,1983249,67950,356697,132008,,,,,,,,,,,,
"G270","1970","Minnesota","27","270","Minnesota",403762,849440,840847,8593,37285,27100,358986,856092,843897,12195,162803,40271,,,,,,,,,,,,
"G280","1970","Mississippi","28","280","Mississippi",222569,480663,465986,14677,25970,15513,185051,494183,469176,25007,119896,24206,,,,,,,,,,,,
"G290","1970","Missouri","29","290","Missouri",435269,1107645,1085795,21850,53462,48932,381618,1121463,1088725,32738,252154,78379,,,,,,,,,,,,
"G300","1970","Montana","30","300","Montana",74669,158696,156912,1784,7217,8485,54148,159861,157621,2240,29598,9248,,,,,,,,,,,,
"G310","1970","Nebraska","31","310","Nebraska",150784,346784,343140,3644,16526,11586,127691,350202,344939,5263,73010,16819,,,,,,,,,,,,
"G320","1970","Nevada","32","320","Nevada",45992,116965,113761,3204,4148,12325,30027,116996,113457,3539,14281,13410,,,,,,,,,,,,
"G330","1970","New Hampshire","33","330","New Hampshire",73283,170099,167367,2732,8279,6556,63442,172123,168396,3727,34187,9624,,,,,,,,,,,,
"G340","1970","New Jersey","34","340","New Jersey",709569,1689012,1638892,50120,81404,41440,639523,1725441,1636445,88996,354919,72453,,,,,,,,,,,,
"G350","1970","New Mexico","35","350","New Mexico",102269,220882,217855,3027,8310,9891,84233,225244,219764,5480,33905,16419,,,,,,,,,,,,
"G360","1970","New York","36","360","New York",1924157,4141646,4006721,134925,223431,108642,1831724,4284993,4011102,273891,974123,206958,,,,,,,,,,,,
"G370","1970","North Carolina","37","370","North Carolina",526933,1197144,1159495,37649,45859,31695,421061,1221031,1162917,58114,240427,50291,,,,,,,,,,,,
"G380","1970","North Dakota","38","380","North Dakota",76999,137202,136205,997,6127,3598,54436,137892,136579,1313,25934,3862,,,,,,,,,,,,
"G390","1970","Ohio","39","390","Ohio",1004622,2467018,2425391,41627,109724,109516,916099,2501320,2435131,66189,481806,175045,,,,,,,,,,,,
"G400","1970","Oklahoma","40","400","Oklahoma",233172,626507,618146,8361,26061,34727,177063,634012,621247,12765,138145,51872,,,,,,,,,,,,
"G410","1970","Oregon","41","410","Oregon",196806,507626,499090,8536,19793,30722,164566,513617,501892,11725,91425,39801,,,,,,,,,,,,
"G420","1970","Pennsylvania","42","420","Pennsylvania",1188407,2737040,2661246,75794,154074,84066,1129180,2792972,2669779,123193,631815,129951,,,,,,,,,,,,
"G440","1970","Rhode Island","44","440","Rhode Island",108975,217887,213810,4077,11455,7142,92144,216631,209504,7127,47638,12096,,,,,,,,,,,,
"G450","1970","South Carolina","45","450","South Carolina",284461,578532,559785,18747,23146,15052,221599,589366,559110,30256,126348,21195,,,,,,,,,,,,
"G460","1970","South Dakota","46","460","South Dakota",76178,149369,148069,1300,7242,4489,58602,150687,148746,1941,31227,5478,,,,,,,,,,,,
"G470","1970","Tennessee","47","470","Tennessee",367038,935483,915242,20241,39349,37127,309778,954492,920915,33577,201470,61807,,,,,,,,,,,,
"G480","1970","Texas","48","480","Texas",1067408,2617907,2565834,52073,97003,123690,855358,2651980,2572209,79771,492827,195652,,,,,,,,,,,,
"G490","1970","Utah","49","490","Utah",106687,233333,231083,2250,6409,9423,91827,235979,232554,3425,33259,14264,,,,,,,,,,,,
"G500","1970","Vermont","50","500","Vermont",47491,98500,96758,1742,4751,3546,41610,99683,97318,2365,21295,5186,,,,,,,,,,,,
"G510","1970","Virginia","51","510","Virginia",496065,1096855,1066251,30604,40946,37364,385632,1103642,1058936,44706,201287,56826,,,,,,,,,,,,
"G530","1970","Washington","53","530","Washington",350199,809832,795578,14254,30144,49546,263657,814387,794918,19469,138710,64107,,,,,,,,,,,,
"G540","1970","West Virginia","54","540","West Virginia",170626,413499,406327,7172,21049,15519,146086,420155,409882,10273,96646,22644,,,,,,,,,,,,
"G550","1970","Wisconsin","55","550","Wisconsin",468205,990828,980222,10606,48654,34135,410452,999722,983532,16190,192428,48089,,,,,,,,,,,,
"G560","1970","Wyoming","56","560","Wyoming",33147,79605,78754,851,3016,4265,23705,79945,78904,1041,12493,4768,,,,,,,,,,,,
"G010","1980","Alabama","01","010","ALABAMA",375515,904748,879413,25335,37370,75051,316411,914598,876229,38369,222482,109055,,,,,,,,,,,,
"G020","1980","Alaska","02","020","ALASKA",53423,89520,87025,2495,1834,12561,31805,86300,83680,2620,5760,12374,,,,,,,,,,,,
