"","color","seaweed_mgN","seaweed_mgC","seaweed_weight"
"14","Green",0.078055661383761,1.16023098975382,3.09463630705161
"47","Red",0.0707557842282607,1.19372665808535,3.02025351407857
"46","Red",0.064083468245019,1.05614776830078,3.26800261989401
"18","Green",0.0807677571367725,1.25556382708784,3.38862418103334
"4","Green",0.0680798203198396,0.91378534271624,2.94289937847682
"17","Green",0.0809901451126778,1.04620419427033,2.75515914235838
"5","Green",0.0981586322236423,1.37535439154666,2.84867682074615
"13","Green",0.0875590988387445,1.13856299600576,2.76864787716851
"6","Green",0.0879029413447965,1.23843033601373,2.90022803831288
"7","Green",0.075112886591873,1.01165007862937,3.09859004768957
"41","Brown",0.0903265833995244,1.34163360580616,3.02935443446883
"29","Brown",0.0740292788706395,1.08031622987025,3.1157441944773
"28","Brown",0.0762623940046671,1.18828586137377,3.07999251365933
"27","Brown",0.0692511456750723,1.07258775060246,3.28594299179054
"42","Brown",0.070036303244229,1.07611501999998,2.93228502358074
"48","Red",0.0615426515584344,0.957044321667514,2.97829076935579
"25","Brown",0.0807910093716829,1.27016384946184,2.98760318618843
"63","Red",0.0743452450090127,1.12303076330263,3.03207147845497
"24","Brown",0.0601559515088267,0.993690188268333,3.01696693249333
"57","Red",0.0692324329506032,1.09806404704905,3.15648797804499
"33","Brown",0.0787038891329636,1.25110123986572,3.07099852165662
"52","Red",0.0700141464417984,1.16073069717611,2.86052893912381
"35","Brown",0.0706047913090231,1.12763169709481,2.96285773777747
"59","Red",0.0759707539574065,1.37610096324482,3.05397119479356
"39","Brown",0.0677382430472856,1.09081732524279,3.13488688900149
"58","Red",0.0731160102511733,1.16113280782402,3.14485271962148
"51","Red",0.0618888684628554,1.04007367685172,2.98639474803061
"61","Red",0.0575902635753626,0.908030407982593,3.17124888011964
"54","Red",0.0827164425619208,1.34719968877968,2.95441697442227
"11","Green",0.0776900227501266,1.05698617661636,2.74265122723045
"22","Green",0.0817602620691999,1.17289056209544,2.90888777702069
"23","Green",0.0853994033064612,1.17262807725629,2.84122681585785
"32","Brown",0.074106142824903,1.13087765344516,3.08120179540745
"62","Red",0.0705092402932306,1.13831554164556,2.8073537031279
"21","Green",0.0904784550501593,1.28351882397285,3.01721776120243
"19","Green",0.0656115559482672,0.930707684679216,2.93736585821808
"50","Red",0.0725117174588127,1.2362476159378,3.06291670986947
"20","Green",0.0716243961785428,0.934976732250815,3.13499062813924
"12","Green",0.0957160846169271,1.37061412110834,3.10040915439263
"56","Red",0.0747442853572335,1.30526671124765,3.1615574656714
"36","Brown",0.0595075067013111,0.890300334336044,2.89511394521309
"1","Green",0.0925774991174136,1.34046388850952,2.8454168515459
"38","Brown",0.0706551436497759,1.10039225266931,2.96387038348173
"16","Green",0.0939922880664656,1.27652485056331,2.87166719638427
"64","Red",0.0666157032112511,1.02380462936573,2.67341726454633
"53","Red",0.0634745928641497,1.07228739037097,3.21303139653635
"2","Green",0.0936318712061245,1.36751691160238,2.99966901157042
"34","Brown",0.0765836266516264,1.15804338668572,2.7408630560489
"26","Brown",0.084535674966313,1.32069584739179,3.06130399405868
"31","Brown",0.0810833418192739,1.25711247239973,2.74805921956782
"44","Brown",0.0741141668177907,1.18120730820631,3.00182835282895
"55","Red",0.0608699044706017,0.969175607487487,2.90727341389871
"37","Brown",0.0611410127038498,1.01576497669966,3.11480386588171
"45","Red",0.0731785075660423,1.19675226206719,3.05771884522562
"9","Green",0.0898613553955877,1.26779015909995,3.21648079987735
"43","Brown",0.0682947630478647,0.960064176433106,3.10233544023338
"40","Brown",0.0873760591925758,1.23504427983871,2.82846216703128
"15","Green",0.0746889857095103,1.05617666617255,2.79986008646579
"10","Green",0.0804894949982984,1.15310442875641,2.72963999122367
"60","Red",0.0663448744297107,0.992658722168947,2.82878319748624
"8","Green",0.0720566586248104,1.00800620149969,3.04435168323886
"30","Brown",0.0635394409818388,0.965724164370916,2.88786085760706
"49","Red",0.0709809945367624,1.12347608133979,3.10614600251485
"3","Green",0.0885710973043058,1.30377995169813,2.99730317813046
