"","location","sediment_mgN","sediment_mgC","sediment_weight"
"45","Mid Beach",0.00887951517228863,0.152340039725576,20.1213215871908
"33","Mid Beach",0.00844923406876392,0.148949494951671,21.9330763129881
"29","Under Water",0.0104821099900186,0.173073776519189,21.490336372714
"6","Under Water",0.0127662478903782,0.196666704444998,20.98221441444
"49","Mid Beach",0.00830353029781718,0.143001807546399,20.6955731615076
"48","Mid Beach",0.00726236342367439,0.129082272440817,19.8139811489398
"22","Under Water",0.00823433054585784,0.133274000497114,21.9787321850468
"35","Mid Beach",0.0053950693299369,0.0905523523017114,20.940516105925
"13","Under Water",0.0107825494594183,0.178899237449413,19.509296509674
"21","Under Water",0.00986404167311014,0.178666708759543,19.0588271959194
"59","Upper Beach",0.0017820373635542,0.0312866250215739,21.0948398997265
"52","Mid Beach",0.00664117451351857,0.111726906220206,20.1856829532166
"55","Mid Beach",0.00793676367572265,0.12984228475732,17.7268914615794
"18","Under Water",0.012281190481501,0.212739362423892,19.4629981114208
"53","Mid Beach",0.00656838901656287,0.112314566905966,18.8417485158991
"36","Mid Beach",0.00902676501179126,0.143970811427298,19.3018256600848
"43","Mid Beach",0.00946644306121518,0.158119091991593,19.4633219952626
"26","Under Water",0.0142404255449082,0.223024642389208,19.0942242399799
"23","Under Water",0.00895995400555264,0.16319069375337,19.5292748164925
"10","Under Water",0.0106699728357262,0.180133335206674,20.4695881378402
"27","Under Water",0.0161435389036396,0.270498543782678,19.8378170036071
"61","Upper Beach",0.00156045143972911,0.0290280574499726,19.818991395539
"8","Under Water",0.013755301160021,0.227119912043193,21.7076964944866
"51","Mid Beach",0.007761566335886,0.13217794660861,18.4959779548665
"11","Under Water",0.0130460909635208,0.234471171092442,19.8767552366609
"9","Under Water",0.0148575018328755,0.258839317301952,19.8396784756373
"58","Upper Beach",0.00254064494073396,0.0482734215062281,20.195427908365
"57","Upper Beach",0.00171754110595534,0.0264216153180958,18.2846319006315
"4","Under Water",0.0075897538672058,0.132670115049062,19.3434710594426
"39","Mid Beach",0.00775928674209897,0.126403109764239,20.2818960625643
"54","Mid Beach",0.00985088871608935,0.163515796372723,19.3503433219283
"50","Mid Beach",0.00842950703155064,0.141449661477249,20.9104797736061
"14","Under Water",0.0157355781548359,0.256814505936345,21.1715353358291
"42","Mid Beach",0.00758904498602148,0.136167571580761,20.1034877796966
"25","Under Water",0.0125248807019547,0.229955479721731,20.6600770310883
"3","Under Water",0.0139381120385946,0.224468807646801,19.1472716050297
"37","Mid Beach",0.00679342444742502,0.118733573090983,20.8014482143337
"32","Mid Beach",0.00824789217863671,0.137362783901379,22.0471335090722
"17","Under Water",0.0163781330543601,0.2823753030564,19.5201225119893
"24","Under Water",0.010136972625957,0.176626629243348,22.0410993578513
"31","Mid Beach",0.00968445259075351,0.153980376742816,19.3637945061851
"16","Under Water",0.0125799728681545,0.229690311551762,20.2654633750675
"20","Under Water",0.0109641208396589,0.196073745675464,19.0559989352263
"19","Under Water",0.0133021511530549,0.209292179568454,20.1913871716646
"28","Under Water",0.0164027585984715,0.274954655561271,22.0699240024964
"38","Mid Beach",0.00887485936144304,0.145630932810562,21.8420373993439
"47","Mid Beach",0.0101159840660026,0.171465274810117,19.0584127538181
"34","Mid Beach",0.011469514655966,0.205326246836965,22.1040373151876
"5","Under Water",0.0132806821007376,0.223735879915851,19.3153459287456
"15","Under Water",0.0145350044208847,0.233633453638915,19.7541507990872
"40","Mid Beach",0.0081838819243278,0.141361575314429,20.1812401322456
"2","Under Water",0.017134160483194,0.302635206856263,18.6207666384951
"30","Under Water",0.0144317736553199,0.262646330433543,21.0965778080239
"12","Under Water",0.0123486124617626,0.203840278267411,19.7571155193636
"46","Mid Beach",0.0064240979451738,0.111330021101154,20.5162709365977
"44","Mid Beach",0.00765989446836813,0.120355982501799,21.8217511722564
"56","Mid Beach",0.00761396297401392,0.12756692186137,20.9219209091034
"62","Upper Beach",0.00172195109742325,0.0297220483671283,19.2494680663552
"41","Mid Beach",0.00729665332562451,0.122161597560486,18.8225853114189
"1","Under Water",0.0171577642067608,0.310847123284362,18.9311944703851
"60","Upper Beach",0.00182101947486926,0.0315733208933085,18.0945595772396
"7","Under Water",0.010034763030287,0.179150173957366,19.3351186108484
