"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","mean.phi","sd.phi","skewness.phi","kurtosis.phi","thickness.cm","accretion.rate.cmyr","year.mean","end.pb","below_pb_LOD","N.P.ratio","C.N.ratio","Si.P.ratio","Si.N.ratio","C.P.ratio","P.total.pct.e2","accretion.rate.gcm2yr","outlier"
"North",0,0.660737535638723,8.40327997851383,6.46293876331962,-20.1830710063795,6.3981604012845,-20.4638066979287,-0.001843031,0.03561734,0.037460371,235.39608352,7.85884586503941,67.48,NA,76.2,3.865,2.107,0.298,1.522,NA,NA,NA,38,FALSE,18.5510073362784,9.68336148043944,220.646625071929,11.8940508767107,179.636109863468,3.561734,NA,FALSE
"North",1,0.633340053177114,8.23996592190672,6.23939847866872,-20.2634715892858,6.03586511891086,-20.1841221486899,0.005224158,0.030777433,0.025553275,309.274617066667,10.0232445172051,66.96,0.39,60.2,4.115,2.118,0.233,1.44,NA,NA,NA,38,FALSE,20.578066181709,9.53021222743184,325.668632507627,15.8260076351149,196.113337941825,3.0777433,NA,FALSE
"North",2,0.523082655002773,7.875,5.52630937546862,-21.16,5.49947789766794,-21.2,0.003454387,0.019685674,0.016231287,260.63503064,8.60835058427189,65.53,0.25,60.3,4.13,2.107,0.238,1.456,2,NA,2012.1,38,FALSE,26.571742222429,10.5135925366112,437.29011179764,16.4569604859604,279.364470714487,1.9685674,NA,FALSE
"North",3,0.452059540115076,7.955,5.03036834573921,-21.005,4.97641509433962,-21.04,0.009078757,0.02187651,0.012797754,273.986772114286,8.87377919987405,64.93,0.26,55,4.289,2.115,0.216,1.457,1,0.15873015873016,2005.8,38,FALSE,20.6641525597582,11.0083178270562,405.63047761613,19.6296691307856,227.477559004595,2.187651,0.0412698412698416,FALSE
"North",4,0.423215278873957,8.19226872740333,4.80533921739824,-20.337435208387,4.71143427511446,-20.4107018325843,0.012844499,0.025385192,0.012540693,278.91635328,9.20695232433229,64.34,0.35,54.9,4.277,2.052,0.247,1.488,1,0.123456790123458,1997.7,38,FALSE,16.6717383454873,11.132476803886,362.689883311983,21.754773005429,185.597740411594,2.5385192,0.0432098765432104,FALSE
"North",6,0.393132357646145,8.055,9.0977306337262,-20.83,4.5881178232651,-20.89,0.010383373,0.022182427,0.011799054,282.938749333333,9.3646255260415,60.56,0.39,66.6,4.077,2.089,0.299,1.433,2,0.210526315789474,1988.2,38,FALSE,17.7226936279851,11.670669518877,422.16415390622,23.8205412093566,206.835700316521,2.2182427,0.0821052631578947,FALSE
"North",8,0.389392348568484,8.13055571814521,4.68390147867085,-20.7147809903072,4.71382577739858,-20.8625561555496,0.013869336,0.0308207,0.016951364,270.4116688,9.13518548491631,60.8,0.42,69.7,4.035,2.105,0.318,1.433,2,0.20833333333333,1978.6,38,FALSE,12.6341176082465,12.1055942540421,296.397728958664,23.4601052601568,152.943501523281,3.08207,0.0874999999999988,FALSE
"North",10,0.359027630076976,8.08,6.42841506425521,-20.705,4.32821580362564,-20.54,0.012614716,0.027088099,0.014473383,239.707384266667,8.07773595874303,58.32,0.41,68.4,4.08,2.185,0.315,1.316,2,0.194174757281554,1968.3,38,FALSE,13.25407257545,12.0553836001359,298.202393558257,22.4989256593181,159.782929161092,2.7088099,0.0796116504854372,FALSE
"North",12,0.327113394088071,8.28218100924376,3.96999524647733,-20.5220893708944,4.02118374541259,-20.65580003875,0.015985965,0.023756593,0.007770628,245.035478933333,8.01939147374484,57.35,0.52,56.9,4.284,2.199,0.257,1.259,2,0.17241379310345,1956.7,38,FALSE,13.7693731625604,12.2929351658708,337.564880357416,24.5156316393016,169.266011562036,2.3756593,0.0896551724137938,FALSE
"North",14,0.304696902380991,8.2825,3.83196279350604,-20.8025,3.84185186986335,-20.86,0.011591469,0.02671033,0.01511886,210.284005333333,6.89422753272817,54.95,0.48,40.5,4.996,2.58,0.238,1.261,2,0.162601626016261,1944.4,38,FALSE,11.4074555567449,12.6087657598157,258.110908129108,22.6265100788838,143.833935030505,2.671033,0.0780487804878052,FALSE
"North",16,0.278141069348357,8.37785810512748,3.49098050407431,-20.4510823142115,3.44205111916829,-20.7392115537777,0.016631162,0.022318533,0.005687371,203.9211328,6.43850629321888,54.12,0.55,33.3,5.922,3.046,0.323,1.292,2,0.165289256198345,1932.3,38,FALSE,12.4623365410422,12.3751991291056,288.482504348242,23.1483480965373,154.223896309327,2.2318533,0.0909090909090899,FALSE
"North",18,0.294198831193248,8.09,3.88362427912674,-21.265,3.86429258902791,-21.3,0.011896232,0.02414865,0.012252418,184.013224266667,6.30088264843472,53.54,0.58,34.2,5.883,3.079,0.319,1.29,2,0.161290322580647,1919.9,38,FALSE,12.1828272467922,13.1349692089348,260.920699435982,21.417089329957,160.021060764387,2.414865,0.0935483870967752,FALSE
"North",20,0.239104435010875,7.06178356149055,2.75905179621916,-19.8636121697698,2.72628917192774,-19.7571300581286,0.018895144,0.027164028,0.008268884,128.341894666667,4.0896749401276,50.46,0.57,26.4,6.134,2.942,0.279,1.249,2,0.157480314960629,1907.2,38,FALSE,8.80224519761483,11.4020853348193,150.55480505791,17.1041366921596,100.363950881207,2.7164028,0.0897637795275587,FALSE
"North",22,0.228373224994843,5.765,2.64185752516325,-19.265,2.65050934195916,-19.42,0.010458534,0.018854625,0.00839609,216.3703096,7.1928153300918,49.54,0.64,26.4,6.155,2.929,0.27,0.841,2,0.157480314960629,1894.5,38,FALSE,12.1123185952965,11.6060424422303,381.488113929171,31.4958784255651,140.576083690827,1.8854625,0.100787401574803,FALSE
"North",24,0.234070550727626,5.72479419828184,2.67926710184873,-18.7086127548118,2.77753057308707,-18.7243818120281,0.009472867,0.021831959,0.012359092,221.4891256,7.42687736511077,49.85,0.58,29.2,5.916,3.12,0.241,1.127,2,0.16,1882,38,FALSE,10.7214634622402,11.8662111250343,340.183735463719,31.7292258339367,127.223149012284,2.1831959,0.0928,FALSE
"North",26,0.252941246076291,5.125,2.95540435125872,-18.89,2.88949629051152,-18.88,0.009485345,0.019047798,0.009562454,271.723615733333,9.04313198140554,51.78,0.59,25.6,6.035,3.07,0.215,0.839,2,0.156250000000001,1869.2,38,FALSE,13.2792906600695,11.4235868421396,474.759968653886,35.7519072973888,151.697130057318,1.9047798,0.0921875000000003,FALSE
"North",28,0.236402181534657,5.1126577404166,2.88108688368806,-19.4124037121462,2.93211563203526,-19.5280190424814,0.00961288,0.01616022,0.00654734,234.5829608,7.66798123509169,49.51,0.59,23.6,6.147,3.031,0.195,0.64,2,0.157480314960629,1856.5,38,FALSE,14.6286487148478,12.4030819555081,474.497329559356,32.4361695197281,181.440328908595,1.616022,0.0929133858267713,FALSE
"North",30,0.251992470165126,4.825,3.08893119230708,-19.535,3.07027391109115,-19.37,0.008439572,0.019490944,0.011051372,249.143549066667,8.1339157417481,51.33,0.62,23.9,6.084,3.099,0.175,0.647,2,0.15873015873016,1843.9,38,FALSE,12.928694996257,12.1839906925761,417.317690808003,32.2784079080541,157.523099501551,1.9490944,0.0984126984126991,FALSE
"North",32,0.254834037348357,4.92067217180634,3.20137135119946,-19.7827504498178,3.23320302472788,-19.8248755919276,0.010897998,0.02166157,0.010763572,247.040949333333,8.0448606525633,51.3,0.54,20.7,6.344,2.87,0.214,0.577,2,0.16,1831.4,38,FALSE,11.7643382888847,12.6874849936475,371.38862291899,31.5690193361651,149.259865500418,2.166157,0.0864,FALSE
