"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","pebbles.pct","sand.pct","silt.pct","skewness.um","kurtosis.um","mean.phi","sd.phi","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","outlier","N.P.ratio","C.N.ratio","Si.P.ratio","Si.N.ratio","C.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr","cluster"
"Middle",0,0.655493586700345,8.63831983509779,7.32971172773204,-21.9965870446638,7.46634400851393,-21.8087979232571,NA,0.026545777,NA,58.5555701333333,1.90825632958953,66.87,NA,86.1,0.0877777777777778,0,56.1311111111111,43.7844444444444,0.27,1.371,6.14977120256425,1.78384426521214,2021.1,2021.2,2021.2,2021.2,NA,NA,NA,NA,NA,"2000",FALSE,24.6929516020701,11.3904150399066,71.8854953686052,2.91117467555312,281.262967307905,2.6545777,NA,6.42794133250948,NA,NA
"Middle",1,0.575813010571793,8.69621887519707,5.85254603462547,-20.4161870723246,5.87922299139839,-20.2425989564078,0.009865197,0.023487397,0.0136222,364.515173066667,12.3250745665189,65.14,0.29,64.2,0.167777777777778,0,48.1366666666667,51.6988888888889,0.249,1.303,5.76522123993034,1.67549393597572,2015.5,2019.2,2017.8,2017.7,NA,NA,3.5,1,0.285714285714286,"2000",FALSE,24.5158290879058,10.2102989745928,524.752681896549,21.4046475856458,250.313944597538,2.3487397,0.0400765855357968,6.00450139223494,0.0828571428571429,"1"
"Middle",2,0.514470851936683,8.25,5.48264360372624,-20.0375,5.34306723800455,-19.91,0.010174725,0.024415998,0.014241273,355.823599733333,11.4549031842357,65.01,0.31,67.3,0.296666666666667,0.07,49.5155555555556,50.12,0.279,1.26,5.79062456338897,1.72613314364432,2011.4,2015.5,2013.7,2013.6,NA,NA,4.10000000000014,1,0.243902439024382,"2000",FALSE,21.0710556224932,10.3855587112293,469.155640667882,22.2654075369182,218.83468527498,2.4415998,0.0382766313840892,6.07253459972295,0.0756097560975585,"1"
"Middle",3,0.482474513413755,8.295,7.38683212084855,-19.87,4.98473494310297,-19.82,0.009563958,0.022615719,0.013051761,320.1374816,10.156165965545,63.9,0.29,63.9,0.31,0,46.5811111111111,53.1011111111111,0.252,1.277,5.67919819542164,1.69197843994706,2003.6,2010.9,2007.8,2007.7,NA,NA,5.89999999999986,1,0.169491525423733,"2000",FALSE,21.3335916233198,10.3316026121948,449.075528642046,21.0501605435795,220.410190942988,2.2615719,0.0335802261335974,5.99774402605963,0.0491525423728825,"1"
"Middle",4,0.480518003251878,8.81947019120594,5.0844791670847,-20.0865800245868,5.29643732563225,-20.2287412421976,0.01079452,0.023680688,0.012886168,314.405649333333,10.5747456165878,64.14,0.29,56.6,0.377777777777778,0,45.2088888888889,54.4122222222222,0.237,1.253,5.6188047735735,1.70409449805633,1996,2006.5,2001.8,2001.7,NA,NA,6,1,0.166666666666667,"2000",FALSE,20.2915558556355,11.0223494016643,446.555675096426,22.0069706962566,223.660618544201,2.3680688,0.0334440530263307,5.82273014794452,0.0483333333333333,"1"
"Middle",6,0.464325056458908,8.21,7.02497528942887,-20.05,4.95712906706036,-20.03,0.011377157,0.026538591,0.015161434,265.706603733333,8.95684964063884,63.35,0.3,63.9,0.478888888888889,0,48.2877777777778,51.2211111111111,0.271,1.193,5.70353258080034,1.76222647460694,1988.3,2001.4,1996.1,1995.8,NA,NA,2.90000000000009,1,0.344827586206886,"2000",FALSE,17.4962211241323,10.6759887240741,337.502832785615,19.2900415690392,186.789459435143,2.6538591,0.0334314040650414,5.99774402605963,0.103448275862066,"1"
"Middle",8,0.468720707174958,8.61127023802122,5.01493600157764,-20.2363269136876,4.94959277187896,-19.9078084196239,0.011458808,0.025085936,0.013627127,263.7836432,8.45304582377877,61.9,0.34,58.9,0.444444444444444,0,46.1022222222222,53.4433333333333,0.269,1.199,5.59867365292439,1.69500479459289,1978.7,1995.1,1988.5,1988.1,NA,NA,4.10000000000014,1,0.243902439024382,"2000",FALSE,18.6846010918213,10.5597911423859,336.963540996787,18.0342914114599,197.305485108427,2.5085936,0.0382476097054766,5.8801957289431,0.0829268292682899,"1"
"Middle",10,0.444864836978893,8.1,9.53840607275492,-20.19,4.77373068432671,-20.01,0.011844836,0.025902769,0.014057933,282.415252266667,9.44960273392992,60.75,0.35,57.8,0.686666666666667,0,44.4391666666667,54.8758333333333,0.318,1.186,5.5109896390647,1.70429233105447,1966.4,1986.9,1978.5,1978,NA,NA,5.20000000000005,1,0.192307692307691,"2000",FALSE,17.1744123950182,10.7307440092263,364.810524076786,21.2415141599026,184.294222919824,2.5902769,0.037368646306227,5.85299758761332,0.0673076923076917,"1"
"Middle",12,0.415436443877482,8.5726869611582,4.65468725989309,-20.5681126365251,4.78682891497381,-19.9125914364386,0.015518,0.030337681,0.014819681,288.907697333333,9.10274336110001,59.64,0.34,65.4,0.858888888888889,0.0766666666666667,48.2133333333333,50.8488888888889,0.333,1.152,5.6644689261963,1.82787889356788,1952,1976.7,1965.8,1965.3,NA,NA,6.5,1,0.153846153846154,"2000",FALSE,13.6937442211711,11.522409710366,300.047434775915,21.911277874756,157.78493138529,3.0337681,0.0338996138204026,6.03121873061072,0.0523076923076923,"1"
"Middle",14,0.364705558851378,8.315,6.38855971947716,-20.54,4.57290001775884,-20.24,0.013832703,0.030077067,0.016244364,264.124697333333,8.78356331590221,58.14,0.37,63.3,0.792222222222222,0,47.56,51.6422222222222,0.279,1.185,5.65081734124273,1.80871206019835,1935.2,1965.7,1952.4,1951.8,NA,TRUE,6.60000000000014,1,0.151515151515148,"2000",FALSE,12.1257022452149,12.5386079448883,292.035234549373,24.0839852936862,152.039426509202,3.0077067,0.0323858536260024,5.98413359454098,0.0560606060606049,"1"
