"century","%C.organic","%N","C.N.ratio","C.P.ratio","N.P.ratio","P.pct.total","SiO2.prct","accretion.rate.gcm2yr","d13C.organic","d15N.permil","mean.phi","sd.phi","location","cluster"
"1700",7,7,7,7,7,7,7,7,7,7,7,7,NA,NA
"1800",24,24,24,24,24,24,24,24,24,24,24,24,NA,NA
"1900",22,22,22,22,22,22,22,22,22,22,22,22,NA,NA
"2000",21,21,21,21,21,21,21,21,21,21,21,21,NA,NA
NA,27,27,27,27,27,27,27,27,27,27,27,27,"North",NA
NA,26,26,26,26,26,26,26,26,26,26,26,26,"Middle",NA
NA,21,21,21,21,21,21,21,21,21,21,21,21,"South",NA
NA,25,25,25,25,25,25,25,25,25,25,25,25,NA,"1"
NA,37,37,37,37,37,37,37,37,37,37,37,37,NA,"2"
NA,8,8,8,8,8,8,8,8,8,8,8,8,NA,"3"
NA,4,4,4,4,4,4,4,4,4,4,4,4,NA,"4"
