"response","predictor","n","levene.p.value","equal.variance","kruskal.p.value","kruskal.significance"
"median.grainsize.um","location",77,0.174369861355345,TRUE,0.0025437843511941,TRUE
"median.grainsize.um","century",77,1.74177853195984e-09,FALSE,6.41524399662867e-07,TRUE
"accretion.rate.gcm2yr","location",75,0.00243701546036886,FALSE,0.226554801545308,FALSE
"accretion.rate.gcm2yr","century",75,0.00414045515332717,FALSE,0.000960889449910888,TRUE
"%C.organic","location",77,0.0792969503510191,TRUE,0.557703412466034,FALSE
"%C.organic","century",77,0.000990123275729582,FALSE,9.05011945668886e-07,TRUE
"%N","location",77,0.0220477279573299,FALSE,0.207434642299663,FALSE
"%N","century",77,0.011570308053966,FALSE,2.87590911635336e-09,TRUE
"SiO2.prct","location",77,0.00394788299346927,FALSE,0.501522146751095,FALSE
"SiO2.prct","century",77,0.1352892368099,TRUE,2.10443388566564e-10,TRUE
"C.N.ratio","location",77,0.400095182461904,TRUE,0.657267841759063,FALSE
"C.N.ratio","century",77,0.573369050346092,TRUE,0.00100024662354127,TRUE
"N.P.ratio","location",76,0.437128675836711,TRUE,0.73663704578274,FALSE
"N.P.ratio","century",76,0.00185201298626427,FALSE,8.00928308914089e-07,TRUE
"Si.P.ratio","location",76,0.0170348611438842,FALSE,0.954062223074649,FALSE
"Si.P.ratio","century",76,0.779652307123653,TRUE,0.0322750247992537,TRUE
"d15N.permil","location",77,0.798517846207319,TRUE,0.0624749929037807,FALSE
"d15N.permil","century",77,0.00510422136836792,FALSE,6.40622125380017e-12,TRUE
"d13C.organic","location",77,0.0485916738866725,FALSE,0.599212944620778,FALSE
"d13C.organic","century",77,0.179978722193338,TRUE,4.97054126740433e-05,TRUE
