location,depth.cm,thickness.cm,density.gcm3,Cs137_activity.bqkg,Cs137_uncertainty.bqkg,Cs137_activity.bqcm3,Cs137_uncertainty.bqcm3,Pb210_excess.bqkg,Pb210_uncertainty.bqkg,Pb210_excess.bqcm3,Pb210_uncertainty.bqcm3,Pb210.bqkg,Pb210_sd.bqkg,Ra226.bqkg,Ra226_sd.bqkg,year.min,year.max,year.median,year.mean
North,2,2,"	0.318356111",1.928364951,0.499736697,0.000613907,0.000963675,107.1240686,10.65093996,0.034103602,0.003390792,"	130.9299075","	10.04131884","	23.67773563","	1.852270116",2009.4,2014.2,2012.2,2012.1
North,3,1,"	0.260551634",2.387223996,0.942589414,0.000621995,0.002250172,109.4717976,17.24859743,0.028523056,0.00449415,"	139.2187322","	16.3886545","	28.03760054","	2.894566473",2001.7,2009,2005.9,2005.8
North,4,1,"	0.348446838",6.34404779,1.43533648,0.002210563,0.009105843,81.30567912,16.61857046,0.028330707,0.005790688,"	117.3962156","	16.33105836","	34.3832832","	3.292496549",1992.1,2002.9,1997.8,1997.7
North,6,2,"	0.394926603",4.013470972,0.763858605,0.001585026,0.003065724,49.55663809,10.20749443,0.019571235,0.004031211,"	83.10897017","	9.973055227","	30.50011146","	2.087655598",1981.5,1994.2,1988.3,1988.2
North,8,2,"	0.422110453",5.041776857,1.397333183,0.002128187,0.007045042,37.66721102,14.27743483,0.015899724,0.006026654,"	70.88648115","	13.03659523","	34.54803701","	3.101425924",1972.2,1984.5,1978.6,1978.6
North,10,2,"	0.414858398",6.07835921,0.815311932,0.002521658,0.004955759,27.44502639,9.64425925,0.0113858,0.004001002,"	64.74364303","	8.702720508","	34.62411776","	2.175846019",1964,1973.2,1968.3,1968.3
North,12,2,"	0.515073768",6.806520156,1.443984968,0.00350586,0.009828513,22.37100658,13.74870716,0.011522719,0.007081598,"	57.96395902","	12.90970484","	37.26544684","	3.350332871",1950.2,1961.7,1956.9,1956.7
North,14,2,"	0.477519026",4.508163782,0.813182511,0.002152734,0.00366596,15.02418039,8.937114523,0.007174332,0.004267642,"	49.81520647","	8.475405725","	34.78823684","	2.293264025",1931,1954.7,1945,1944.4
North,16,2,"	0.545732245",4.11399554,1.16193247,0.00224514,0.004780185,0.215772227,11.14134426,0.000117754,0.006080191,"	39.73112686","	9.73720837","	40.26864265","	3.125274451",1913.7,1946.6,1933.1,1932.3
North,18,2,"	0.582397513",2.163750508,0.676138305,0.001260163,0.001462995,2.103581225,7.706053998,0.00122512,0.004487987,"	37.25277674","	7.395579158","	37.38911054","	2.175372388",1897,1938.2,1920.8,1919.9
North,20,2,"	0.565766235",0.943966057,0.985363551,0.000534064,0.00093015,3.049056118,10.67055551,0.001725053,0.00603704,"	39.41952095","	9.737140534","	38.92592906","	3.104311394",1882.6,1927.8,1908,1907.2
North,22,2,"	0.635981717",0.245963174,0.507587235,0.000156428,0.000124848,6.471645372,9.148872425,0.004115848,0.005818516,"	39.33766074","	8.114671872","	33.81768829","	2.222002126",1867.9,1917.9,1895.3,1894.5
