"","location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","n"
"1","Middle",0,0.460880328228059,11.125,12.5949374813796,-4.87,12.6319806165674,-4.615,2
"2","Middle",1,0.579981763959356,8.41,6.03901051768631,-20.265,5.99785124651562,-20.25,2
"3","Middle",2,0.509020723983789,8.33,5.5410438718279,-20.035,5.54784650884409,-20.035,2
"4","Middle",3,0.486012350863185,8.345,5.17809589999022,-19.84,5.13328439959257,-19.88,2
"5","Middle",4,0.470897093533474,8.3,5.11481729005464,-19.755,5.14041083749128,-19.855,2
"6","Middle",6,0.457844015088838,8.38,5.20141796239979,-20.175,5.12601572123456,-20.045,2
"7","Middle",8,0.451417631638382,8.215,5.11123130772477,-20.165,5.04533841680875,-20.08,2
"8","Middle",10,0.429873879293113,8.32,5.01288789386648,-20.3,4.90343311908149,-20.155,2
"9","Middle",12,0.424398649640261,8.335,4.84099204534169,-19.965,4.83555976606401,-20.015,2
"10","Middle",14,0.392679709270437,8.145,4.73340242325075,-20.305,4.73538823477232,-20.265,2
"11","Middle",16,0.348390223893063,8.28,4.38782330859585,-20.74,4.34127916191939,-20.72,2
"12","Middle",18,0.330663196670447,8.13,4.36532450786148,-20.86,4.23524009351928,-20.815,2
"13","Middle",20,0.292679539324358,8.055,4.31760520715328,-21.545,4.27242426964264,-21.49,2
"14","Middle",22,0.224906360892177,8.035,6.50234829364866,-20.87,6.43148286775488,-21.135,2
"15","Middle",24,0.219998117693497,7.78,3.70331583483997,-20.535,3.57588955893834,-20.795,2
"16","Middle",26,0.198842059591402,7.39,2.96639835099204,-19.235,2.80204489155051,-19.46,2
"17","Middle",28,0.197778727869806,6.585,2.75860302879944,-18.165,2.7028872801657,-18.53,2
"18","Middle",30,0.202589513180769,6.6,3.04498833929105,-16.42,3.0079152723182,-16.91,2
"19","Middle",32,0.182812772858983,5.935,2.53053493066013,-19.475,1.59669621120355,-19.83,3
"20","Middle",34,0.19884078444547,6.32,3.29113385229856,-14.09,3.21938315364352,-14.565,2
"21","Middle",36,0.126323835286221,6.72,4.32404576928433,-6.3,4.34458350955637,-6.19,2
"22","Middle",38,0.198455868033904,5.535,2.95026333614267,-15.455,2.9812363523879,-15.935,2
"23","Middle",40,0.147667619326251,4.78,2.0905800838166,-18.43,2.02598398126417,-19.12,2
"24","Middle",42,0.158920733811938,4.31,2.0750728297757,-18.97,2.06729041430212,-19.195,2
"25","Middle",44,0.197305079614512,4.215,2.4149432366269,-19.195,2.37602133630783,-19.205,2
"26","Middle",46,0.194692939495956,4.265,2.5520004301158,-20.175,2.38482560405818,-19.985,2
"27","Middle",48,0.0873794965779354,2.75,1.4209612928148,-20.605,1.46445079447323,-21.035,2
"28","Middle",50,0.0708702198694255,1.26,1.60731356716468,-22.72,1.83011083218113,-22.56,2
"29","Middle",52,0.04455129891714,-0.27,1.17746606042616,-22.915,1.27758598891019,-22.83,2
"30","North",2,0.523082655002773,7.875,5.52630937546862,-21.16,5.49947789766794,-21.2,1
"31","North",3,0.452059540115076,7.955,5.03036834573921,-21.005,4.97641509433962,-21.04,1
"32","North",6,0.393132357646145,8.055,9.0977306337262,-20.83,4.5881178232651,-20.89,1
"33","North",10,0.359027630076976,8.08,6.42841506425521,-20.705,4.32821580362564,-20.54,1
"34","North",14,0.304696902380991,8.2825,3.83196279350604,-20.8025,3.84185186986335,-20.86,1
"35","North",18,0.294198831193248,8.09,3.88362427912674,-21.265,3.86429258902791,-21.3,1
"36","North",22,0.228373224994843,5.765,2.64185752516325,-19.265,2.65050934195916,-19.42,1
"37","North",26,0.252941246076291,5.125,2.95540435125872,-18.89,2.88949629051152,-18.88,1
"38","North",30,0.251992470165126,4.825,3.08893119230708,-19.535,3.07027391109115,-19.37,1
"39","North",34,0.263361473343116,4.4925,3.20905804078055,-19.7325,3.19192540219285,-19.77,1
"40","North",38,0.289230661733838,4.11,5.77865029686963,-20.165,3.96693451556294,-20.35,1
"41","North",42,0.320314756265762,3.48,8.60986610125605,-19.86,4.68568665377176,-19.72,1
"42","North",46,0.294064375882307,3.55,6.14222390163109,-19.77,4.11620188784966,-19.85,1
"43","North",50,0.281481770937144,3.5,8.42940735876331,-20.88,4.22616471945767,-20.76,1
"44","South",0,0.561428189915147,8.245,6.51104353531855,-21.135,6.36905457371434,-21.07,1
"45","South",1,0.427604305233961,7.85,4.92401808217961,-20.575,4.88423159985383,-20.62,1
"46","South",2,0.400981735978648,7.79,4.79532313027963,-20.79,4.69747288792115,-20.78,2
"47","South",3,0.376360459532796,7.845,4.5829877698819,-20.775,4.5117297166338,-20.77,2
"48","South",4,0.349924361697753,7.875,4.29435754210357,-20.6,4.28590083619403,-20.66,1
"49","South",6,0.348675005438953,7.845,4.19673170456665,-20.405,4.15848421785358,-20.46,2
"50","South",8,0.327068779809529,7.77,3.95661544938574,-20.405,3.76674383147082,-20.35,1
"51","South",10,0.276668167138999,7.425,3.46000682167581,-20.44,3.37018420066659,-20.38,2
"52","South",12,0.256841398162835,7.42,3.16290723536559,-20.115,3.09036614900526,-20.41,1
