location,depth.cm,N.pct,d15N.permil,C.pct.total,d13C.total,C.pct.organic,d13C.organic,n
Middle,0,0.460880328,11.125,12.59493748,-4.87,12.63198062,-4.615,2
Middle,1,0.579981764,8.41,6.039010518,-20.265,5.997851247,-20.25,2
Middle,2,0.509020724,8.33,5.541043872,-20.035,5.547846509,-20.035,2
Middle,3,0.486012351,8.345,5.1780959,-19.84,5.1332844,-19.88,2
Middle,4,0.470897094,8.3,5.11481729,-19.755,5.140410837,-19.855,2
Middle,6,0.457844015,8.38,5.201417962,-20.175,5.126015721,-20.045,2
Middle,8,0.451417632,8.215,5.111231308,-20.165,5.045338417,-20.08,2
Middle,10,0.429873879,8.32,5.012887894,-20.3,4.903433119,-20.155,2
Middle,12,0.42439865,8.335,4.840992045,-19.965,4.835559766,-20.015,2
Middle,14,0.392679709,8.145,4.733402423,-20.305,4.735388235,-20.265,2
Middle,16,0.348390224,8.28,4.387823309,-20.74,4.341279162,-20.72,2
Middle,18,0.330663197,8.13,4.365324508,-20.86,4.235240094,-20.815,2
Middle,20,0.292679539,8.055,4.317605207,-21.545,4.27242427,-21.49,2
Middle,22,0.224906361,8.035,6.502348294,-20.87,6.431482868,-21.135,2
Middle,24,0.219998118,7.78,3.703315835,-20.535,3.575889559,-20.795,2
Middle,26,0.19884206,7.39,2.966398351,-19.235,2.802044892,-19.46,2
Middle,28,0.197778728,6.585,2.758603029,-18.165,2.70288728,-18.53,2
Middle,30,0.202589513,6.6,3.044988339,-16.42,3.007915272,-16.91,2
Middle,32,0.182812773,5.935,2.530534931,-19.475,1.596696211,-19.83,3
Middle,34,0.198840784,6.32,3.291133852,-14.09,3.219383154,-14.565,2
Middle,36,0.126323835,6.72,4.324045769,-6.3,4.34458351,-6.19,2
Middle,38,0.198455868,5.535,2.950263336,-15.455,2.981236352,-15.935,2
Middle,40,0.147667619,4.78,2.090580084,-18.43,2.025983981,-19.12,2
Middle,42,0.158920734,4.31,2.07507283,-18.97,2.067290414,-19.195,2
Middle,44,0.19730508,4.215,2.414943237,-19.195,2.376021336,-19.205,2
Middle,46,0.194692939,4.265,2.55200043,-20.175,2.384825604,-19.985,2
Middle,48,0.087379497,2.75,1.420961293,-20.605,1.464450794,-21.035,2
Middle,50,0.07087022,1.26,1.607313567,-22.72,1.830110832,-22.56,2
Middle,52,0.044551299,-0.27,1.17746606,-22.915,1.277585989,-22.83,2
North,2,0.523082655,7.875,5.526309375,-21.16,5.499477898,-21.2,1
North,3,0.45205954,7.955,5.030368346,-21.005,4.976415094,-21.04,1
North,6,0.393132358,8.055,9.097730634,-20.83,4.588117823,-20.89,1
North,10,0.35902763,8.08,6.428415064,-20.705,4.328215804,-20.54,1
North,14,0.304696902,8.2825,3.831962794,-20.8025,3.84185187,-20.86,1
North,18,0.294198831,8.09,3.883624279,-21.265,3.864292589,-21.3,1
North,22,0.228373225,5.765,2.641857525,-19.265,2.650509342,-19.42,1
North,26,0.252941246,5.125,2.955404351,-18.89,2.889496291,-18.88,1
North,30,0.25199247,4.825,3.088931192,-19.535,3.070273911,-19.37,1
North,34,0.263361473,4.4925,3.209058041,-19.7325,3.191925402,-19.77,1
North,38,0.289230662,4.11,5.778650297,-20.165,3.966934516,-20.35,1
North,42,0.320314756,3.48,8.609866101,-19.86,4.685686654,-19.72,1
North,46,0.294064376,3.55,6.142223902,-19.77,4.116201888,-19.85,1
North,50,0.281481771,3.5,8.429407359,-20.88,4.226164719,-20.76,1
South,0,0.56142819,8.245,6.511043535,-21.135,6.369054574,-21.07,1
South,1,0.427604305,7.85,4.924018082,-20.575,4.8842316,-20.62,1
South,2,0.400981736,7.79,4.79532313,-20.79,4.697472888,-20.78,2
South,3,0.37636046,7.845,4.58298777,-20.775,4.511729717,-20.77,2
South,4,0.349924362,7.875,4.294357542,-20.6,4.285900836,-20.66,1
South,6,0.348675005,7.845,4.196731705,-20.405,4.158484218,-20.46,2
South,8,0.32706878,7.77,3.956615449,-20.405,3.766743831,-20.35,1
South,10,0.276668167,7.425,3.460006822,-20.44,3.370184201,-20.38,2
South,12,0.256841398,7.42,3.162907235,-20.115,3.090366149,-20.41,1
South,14,0.238636408,7.225,2.987147532,-19.49,2.908813455,-19.815,2
South,16,0.276912846,7.075,3.441261963,-20.205,3.719578432,-20.3,1
South,18,0.250745526,6.435,2.962597136,-19.29,2.929089484,-19.425,2
South,20,0.277341083,6.81,3.498202323,-20.11,3.735199522,-20.83,1
South,22,0.247599699,5.63,3.388935359,-20.495,3.257346901,-20.1,2
South,24,0.246959201,4.96,3.207557098,-19.585,3.166705203,-19.5,1
South,26,0.246734092,5.255,3.165182287,-19.555,2.999830005,-19.465,2
South,28,0.253015813,4.695,3.247898052,-19.705,3.227278152,-19.45,1
South,30,0.269664209,4.915,3.455339318,-19.535,4.29237667,-20.29,2
South,32,0.281260426,3.6,4.434870491,-21.08,5.643040226,-21.63,1
South,34,0.326882203,3.205,5.714732048,-21.34,5.11912981,-21.495,2
South,36,0.332769761,2.905,5.901851579,-21.47,NA,NA,1
South,38,0.398166578,2.325,7.449130549,-21.585,7.318420326,-21.43,2
South,40,0.598009359,1.605,12.53741327,-21.58,NA,NA,1
South,42,0.938280324,0.8,20.37291459,-22.025,20.49780381,-21.66,2
South,44,1.910297984,0.35,37.41958532,-22.22,NA,NA,1
South,46,1.665055024,0.29,33.09104518,-21.36,NA,NA,1
