GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AT5AA,AT5AB,AT5AAM,AT5ABM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,Year-Specific Area Name,Persons: Native,Persons: Foreign born,Margin of error: Persons: Native,Margin of error: Persons: Foreign born
"G0100010","1970","Alabama","01","010","Autauga County","001","0010","Autauga",24387,73,,
"G0100030","1970","Alabama","01","010","Baldwin County","003","0030","Baldwin",58597,785,,
"G0100050","1970","Alabama","01","010","Barbour County","005","0050","Barbour",22477,66,,
"G0100070","1970","Alabama","01","010","Bibb County","007","0070","Bibb",13791,21,,
"G0100090","1970","Alabama","01","010","Blount County","009","0090","Blount",26843,10,,
"G0100110","1970","Alabama","01","010","Bullock County","011","0110","Bullock",11824,0,,
"G0100130","1970","Alabama","01","010","Butler County","013","0130","Butler",21979,28,,
"G0100150","1970","Alabama","01","010","Calhoun County","015","0150","Calhoun",102513,579,,
"G0100170","1970","Alabama","01","010","Chambers County","017","0170","Chambers",36320,36,,
"G0100190","1970","Alabama","01","010","Cherokee County","019","0190","Cherokee",15601,5,,
"G0100210","1970","Alabama","01","010","Chilton County","021","0210","Chilton",25107,73,,
"G0100230","1970","Alabama","01","010","Choctaw County","023","0230","Choctaw",16582,7,,
"G0100250","1970","Alabama","01","010","Clarke County","025","0250","Clarke",26677,47,,
"G0100270","1970","Alabama","01","010","Clay County","027","0270","Clay",12629,7,,
"G0100290","1970","Alabama","01","010","Cleburne County","029","0290","Cleburne",10989,7,,
"G0100310","1970","Alabama","01","010","Coffee County","031","0310","Coffee",34634,238,,
"G0100330","1970","Alabama","01","010","Colbert County","033","0330","Colbert",49534,98,,
"G0100350","1970","Alabama","01","010","Conecuh County","035","0350","Conecuh",15618,27,,
"G0100370","1970","Alabama","01","010","Coosa County","037","0370","Coosa",10649,13,,
"G0100390","1970","Alabama","01","010","Covington County","039","0390","Covington",34035,44,,
"G0100410","1970","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",13140,48,,
"G0100430","1970","Alabama","01","010","Cullman County","043","0430","Cullman",52359,86,,
"G0100450","1970","Alabama","01","010","Dale County","045","0450","Dale",51913,1025,,
"G0100470","1970","Alabama","01","010","Dallas County","047","0470","Dallas",55037,259,,
"G0100490","1970","Alabama","01","010","DeKalb County","049","0490","De Kalb",41925,56,,
"G0100510","1970","Alabama","01","010","Elmore County","051","0510","Elmore",33475,60,,
"G0100530","1970","Alabama","01","010","Escambia County","053","0530","Escambia",34874,32,,
"G0100550","1970","Alabama","01","010","Etowah County","055","0550","Etowah",93898,246,,
"G0100570","1970","Alabama","01","010","Fayette County","057","0570","Fayette",16234,18,,
"G0100590","1970","Alabama","01","010","Franklin County","059","0590","Franklin",23916,17,,
"G0100610","1970","Alabama","01","010","Geneva County","061","0610","Geneva",21909,15,,
"G0100630","1970","Alabama","01","010","Greene County","063","0630","Greene",10647,3,,
"G0100650","1970","Alabama","01","010","Hale County","065","0650","Hale",15873,15,,
"G0100670","1970","Alabama","01","010","Henry County","067","0670","Henry",13254,0,,
"G0100690","1970","Alabama","01","010","Houston County","069","0690","Houston",56455,119,,
"G0100710","1970","Alabama","01","010","Jackson County","071","0710","Jackson",39141,61,,
"G0100730","1970","Alabama","01","010","Jefferson County","073","0730","Jefferson",640781,4210,,
"G0100750","1970","Alabama","01","010","Lamar County","075","0750","Lamar",14323,12,,
"G0100770","1970","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",67966,145,,
"G0100790","1970","Alabama","01","010","Lawrence County","079","0790","Lawrence",27237,44,,
"G0100810","1970","Alabama","01","010","Lee County","081","0810","Lee",60817,451,,
"G0100830","1970","Alabama","01","010","Limestone County","083","0830","Limestone",41625,69,,
"G0100850","1970","Alabama","01","010","Lowndes County","085","0850","Lowndes",12897,0,,
"G0100870","1970","Alabama","01","010","Macon County","087","0870","Macon",24570,271,,
"G0100890","1970","Alabama","01","010","Madison County","089","0890","Madison",183839,2699,,
"G0100910","1970","Alabama","01","010","Marengo County","091","0910","Marengo",23806,13,,
"G0100930","1970","Alabama","01","010","Marion County","093","0930","Marion",23759,29,,
"G0100950","1970","Alabama","01","010","Marshall County","095","0950","Marshall",54128,83,,
"G0100970","1970","Alabama","01","010","Mobile County","097","0970","Mobile",315744,1564,,
"G0100990","1970","Alabama","01","010","Monroe County","099","0990","Monroe",20854,29,,
"G0101010","1970","Alabama","01","010","Montgomery County","101","1010","Montgomery",166813,977,,
"G0101030","1970","Alabama","01","010","Morgan County","103","1030","Morgan",77127,170,,
"G0101050","1970","Alabama","01","010","Perry County","105","1050","Perry",15359,29,,
"G0101070","1970","Alabama","01","010","Pickens County","107","1070","Pickens",20286,40,,
"G0101090","1970","Alabama","01","010","Pike County","109","1090","Pike",24996,41,,
"G0101110","1970","Alabama","01","010","Randolph County","111","1110","Randolph",18301,30,,
"G0101130","1970","Alabama","01","010","Russell County","113","1130","Russell",45305,89,,
"G0101150","1970","Alabama","01","010","St. Clair County","115","1150","St Clair",27909,47,,
"G0101170","1970","Alabama","01","010","Shelby County","117","1170","Shelby",37995,42,,
"G0101190","1970","Alabama","01","010","Sumter County","119","1190","Sumter",16970,4,,
"G0101210","1970","Alabama","01","010","Talladega County","121","1210","Talladega",65148,132,,
"G0101230","1970","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",33825,15,,
"G0101250","1970","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",115579,450,,
"G0101270","1970","Alabama","01","010","Walker County","127","1270","Walker",56202,44,,
"G0101290","1970","Alabama","01","010","Washington County","129","1290","Washington",16213,28,,
"G0101310","1970","Alabama","01","010","Wilcox County","131","1310","Wilcox",16303,0,,
"G0101330","1970","Alabama","01","010","Winston County","133","1330","Winston",16647,7,,
"G0200100","1970","Alaska","02","020","Aleutian Islands","010","0100","Aleutian Islands",7870,187,,
"G0200200","1970","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage",121152,3390,,
"G0200300","1970","Alaska","02","020","Angoon","030","0300","Angoon",476,5,,
"G0200400","1970","Alaska","02","020","Barrow","040","0400","Barrow",2665,20,,
"G0200500","1970","Alaska","02","020","Bethel Census Area","050","0500","Bethel",7573,6,,
"G0200600","1970","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",902,42,,
"G0200700","1970","Alaska","02","020","Dillingham Census Area","070","0700","Bristol Bay Division",3668,20,,
"G0200800","1970","Alaska","02","020","Cordova-McCarthy","080","0800","Cordova-Mc Carthy",1696,73,,
"G0200900","1970","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks",44631,1321,,
"G0201000","1970","Alaska","02","020","Haines Borough","100","1000","Haines",1352,109,,
"G0201100","1970","Alaska","02","020","Juneau City and Borough","110","1100","Juneau",13201,398,,
"G0201200","1970","Alaska","02","020","Kenai-Cook Inlet","120","1200","Kenai-Cook Inlet",13916,334,,
"G0201300","1970","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan",9667,374,,
"G0201400","1970","Alaska","02","020","Kobuk","140","1400","Kobuk",4427,7,,
"G0201500","1970","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak",9151,258,,
"G0201600","1970","Alaska","02","020","Kuskokwim","160","1600","Kuskokwim",2259,16,,
"G0201700","1970","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna",6416,124,,
"G0201800","1970","Alaska","02","020","Nome Census Area","180","1800","Nome",5680,69,,
"G0201900","1970","Alaska","02","020","Outer Ketchikan","190","1900","Outer Ketchikan",1745,26,,
"G0202000","1970","Alaska","02","020","Prince Of Wales","200","2000","Prince Of Wales",2006,5,,
"G0202100","1970","Alaska","02","020","Seward","210","2100","Seward",1958,63,,
"G0202200","1970","Alaska","02","020","Sitka City and Borough","220","2200","Sitka",6083,341,,
"G0202300","1970","Alaska","02","020","Skagway Municipality","230","2300","Skagway-Yakutat",1960,77,,
"G0202400","1970","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks",4180,119,,
"G0202500","1970","Alaska","02","020","Upper Yukon","250","2500","Upper Yukon",1596,12,,
"G0202600","1970","Alaska","02","020","Valdez-Chitina-Whittier","260","2600","Valdez-Chitina-Whittier",3081,93,,
"G0202700","1970","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton",3917,0,,
"G0202800","1970","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg",4695,218,,
"G0202900","1970","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk",4696,56,,
"G0400010","1970","Arizona","04","040","Apache County","001","0010","Apache",32242,56,,
"G0400030","1970","Arizona","04","040","Cochise County","003","0030","Cochise",56656,5254,,
"G0400050","1970","Arizona","04","040","Coconino County","005","0050","Coconino",47444,882,,
"G0400070","1970","Arizona","04","040","Gila County","007","0070","Gila",28434,821,,
"G0400090","1970","Arizona","04","040","Graham County","009","0090","Graham",16175,403,,
