location,depth.cm,P.pct.inorg,P.pct.total,P.pct.org
Middle,0,#N/A,0.026545777,#N/A
Middle,1,0.009865197,0.023487397,0.0136222
Middle,2,0.010174725,0.024415998,0.014241273
Middle,3,0.009563958,0.022615719,0.013051761
Middle,4,0.01079452,0.023680688,0.012886168
Middle,6,0.011377157,0.026538591,0.015161434
Middle,8,0.011458808,0.025085936,0.013627127
Middle,10,0.011844836,0.025902769,0.014057933
Middle,12,0.015518,0.030337681,0.014819681
Middle,14,0.013832703,0.030077067,0.016244364
Middle,16,0.013465512,0.025146107,0.011680595
Middle,18,0.016749629,0.031011083,0.014261455
Middle,20,0.013239503,0.02414218,0.010902677
Middle,22,0.020377536,0.038541666,0.01816413
Middle,24,0.010553906,0.019053984,0.008500078
Middle,26,0.009541435,0.019729113,0.010187678
Middle,28,0.007469948,0.016004253,0.008534306
Middle,30,0.007930803,0.015332904,0.007402101
Middle,32,0.007964292,0.02826733,0.020303038
Middle,34,0.007792325,0.016270969,0.008478645
Middle,36,0.007806183,0.014419733,0.00661355
Middle,38,0.007295382,0.017251717,0.009956335
Middle,40,0.006797092,0.011404553,0.004607461
Middle,42,0.004028006,0.010386442,0.006358436
Middle,44,0.00685414,0.016741645,0.009887505
Middle,46,0.005552979,0.012088794,0.006535815
Middle,48,0.002452631,0.004377091,0.001924461
Middle,50,4.9048E-06,-0.000484809,-0.000489713
Middle,52,0.004834339,0.007953108,0.003118769
North,0,-0.001843031,0.03561734,0.037460371
North,1,0.005224158,0.030777433,0.025553275
North,2,0.003454387,0.019685674,0.016231287
North,3,0.009078757,0.02187651,0.012797754
North,4,0.012844499,0.025385192,0.012540693
North,6,0.010383373,0.022182427,0.011799054
North,8,0.013869336,0.0308207,0.016951364
North,10,0.012614716,0.027088099,0.014473383
North,12,0.015985965,0.023756593,0.007770628
North,14,0.011591469,0.02671033,0.01511886
North,16,0.016631162,0.022318533,0.005687371
North,18,0.011896232,0.02414865,0.012252418
North,20,0.018895144,0.027164028,0.008268884
North,22,0.010458534,0.018854625,0.00839609
North,24,0.009472867,0.021831959,0.012359092
North,26,0.009485345,0.019047798,0.009562454
North,28,0.00961288,0.01616022,0.00654734
North,30,0.008439572,0.019490944,0.011051372
North,32,0.010897998,0.02166157,0.010763572
North,34,0.009468708,0.021066635,0.011597927
North,36,0.013112011,0.020264461,0.00715245
North,38,0.011043159,0.019825389,0.00878223
North,40,0.014592597,0.020127385,0.005534787
North,42,0.011062867,0.017985497,0.00692263
North,44,0.009361721,0.018617605,0.009255883
North,46,0.010469799,0.022964468,0.012494669
North,48,0.011368563,0.020659994,0.00929143
North,50,0.009508236,0.016077868,0.006569631
North,52,0.01118473,0.014902546,0.003717816
South,0,0.015738945,0.037141547,0.021402602
South,1,0.012539343,0.024584566,0.012045223
South,2,0.04873971,0.0203757,-0.02836401
South,3,0.010987877,0.026087467,0.015099589
South,4,0.014772569,0.025601701,0.010829132
South,6,0.011441211,0.031744737,0.020303526
South,8,0.016835122,0.026659482,0.009824359
South,10,0.011502233,0.021714032,0.0102118
South,12,0.015832805,0.019563524,0.003730719
South,14,0.01166854,0.022979276,0.011310736
South,16,0.013315038,0.023079048,0.00976401
South,18,0.025386523,0.024499972,-0.000886551
South,20,0.01693729,0.020035497,0.003098206
South,22,0.009555311,0.023094027,0.013538716
South,24,0.018313781,0.021194814,0.002881033
South,26,0.009106661,0.020781954,0.011675293
South,28,0.017607605,0.017503848,-0.000103757
South,30,0.008821592,0.018072422,0.00925083
South,32,0.014944309,0.016627052,0.001682743
South,34,0.007261959,0.016425207,0.009163248
South,36,0.012402511,0.01618194,0.003779429
South,38,0.006382834,0.015929551,0.009546717
South,40,0.002870588,0.012691442,0.009820855
South,40,0.002870588,0.012691442,0.009820855
South,42,-7.93281E-05,0.009070367,0.009149696
South,44,-0.000135334,0.006761815,0.006897149
South,46,-0.000567994,0.005973545,0.00654154
