GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AT5AA,AT5AB,AT5AAM,AT5ABM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Native,Persons: Foreign born,Margin of error: Persons: Native,Margin of error: Persons: Foreign born
"G010","1970","Alabama","01","010","Alabama",3428160,15988,,
"G020","1970","Alaska","02","020","Alaska",292619,7763,,
"G040","1970","Arizona","04","040","Arizona",1694323,76570,,
"G050","1970","Arkansas","05","050","Arkansas",1914953,8287,,
"G060","1970","California","06","060","California",18199314,1757990,,
"G080","1970","Colorado","08","080","Colorado",2146948,60311,,
"G090","1970","Connecticut","09","090","Connecticut",2770091,261614,,
"G100","1970","Delaware","10","100","Delaware",532445,15648,,
"G110","1970","District Of Columbia","11","110","District Of Columbia",722930,33562,,
"G120","1970","Florida","12","120","Florida",6249099,540284,,
"G130","1970","Georgia","13","130","Georgia",4556581,32988,,
"G150","1970","Hawaii","15","150","Hawaii",692964,75595,,
"G160","1970","Idaho","16","160","Idaho",699995,12572,,
"G170","1970","Illinois","17","170","Illinois",10480552,628898,,
"G180","1970","Indiana","18","180","Indiana",5110467,83198,,
"G190","1970","Iowa","19","190","Iowa",2784159,40217,,
"G200","1970","Kansas","20","200","Kansas",2218736,27842,,
"G210","1970","Kentucky","21","210","Kentucky",3202144,16553,,
"G220","1970","Louisiana","22","220","Louisiana",3600900,39542,,
"G230","1970","Maine","23","230","Maine",950649,43014,,
"G240","1970","Maryland","24","240","Maryland",3798046,124345,,
"G250","1970","Massachusetts","25","250","Massachusetts",5194243,494660,,
"G260","1970","Michigan","26","260","Michigan",8450759,424309,,
"G270","1970","Minnesota","27","270","Minnesota",3706915,98056,,
"G280","1970","Mississippi","28","280","Mississippi",2208725,8125,,
"G290","1970","Missouri","29","290","Missouri",4610751,65744,,
"G300","1970","Montana","30","300","Montana",674775,19634,,
"G310","1970","Nebraska","31","310","Nebraska",1453616,28796,,
"G320","1970","Nevada","32","320","Nevada",470559,18179,,
"G330","1970","New Hampshire","33","330","New Hampshire",700633,37048,,
"G340","1970","New Jersey","34","340","New Jersey",6533325,634818,,
"G350","1970","New Mexico","35","350","New Mexico",993488,22510,,
"G360","1970","New York","36","360","New York",16127106,2109776,,
"G370","1970","North Carolina","37","370","North Carolina",5053416,28620,,
"G380","1970","North Dakota","38","380","North Dakota",599324,18437,,
"G390","1970","Ohio","39","390","Ohio",10334407,316496,,
"G400","1970","Oklahoma","40","400","Oklahoma",2539015,20160,,
"G410","1970","Oregon","41","410","Oregon",2025236,66149,,
"G420","1970","Pennsylvania","42","420","Pennsylvania",11347969,445895,,
"G440","1970","Rhode Island","44","440","Rhode Island",874470,74374,,
"G450","1970","South Carolina","45","450","South Carolina",2576145,14364,,
"G460","1970","South Dakota","46","460","South Dakota",654608,10899,,
"G470","1970","Tennessee","47","470","Tennessee",3904702,19024,,
"G480","1970","Texas","48","480","Texas",10885644,309772,,
"G490","1970","Utah","49","490","Utah",1029700,29573,,
"G500","1970","Vermont","50","500","Vermont",425848,18482,,
"G510","1970","Virginia","51","510","Virginia",4576198,72281,,
"G530","1970","Washington","53","530","Washington",3253141,156020,,
"G540","1970","West Virginia","54","540","West Virginia",1727574,16662,,
"G550","1970","Wisconsin","55","550","Wisconsin",4287062,130669,,
"G560","1970","Wyoming","56","560","Wyoming",325427,6989,,
"G010","1980","Alabama","01","010","ALABAMA",3854886,39002,,
"G020","1980","Alaska","02","020","ALASKA",385635,16216,,
"G040","1980","Arizona","04","040","ARIZONA",2555409,162806,,
"G050","1980","Arkansas","05","050","ARKANSAS",2264064,22371,,
"G060","1980","California","06","060","CALIFORNIA",20087869,3580033,,
"G080","1980","Colorado","08","080","COLORADO",2775834,114130,,
"G090","1980","Connecticut","09","090","CONNECTICUT",2839770,267806,,
"G100","1980","Delaware","10","100","DELAWARE",575509,18829,,
"G110","1980","District Of Columbia","11","110","DISTRICT OF COLUMBIA",597774,40559,,
"G120","1980","Florida","12","120","FLORIDA",8687592,1058732,,
"G130","1980","Georgia","13","130","GEORGIA",5371625,91480,,
"G150","1980","Hawaii","15","150","HAWAII",827675,137016,,
"G160","1980","Idaho","16","160","IDAHO",920531,23404,,
"G170","1980","Illinois","17","170","ILLINOIS",10602822,823696,,
"G180","1980","Indiana","18","180","INDIANA",5388422,101802,,
"G190","1980","Iowa","19","190","IOWA",2866149,47659,,
"G200","1980","Kansas","20","200","KANSAS",2315788,47891,,
"G210","1980","Kentucky","21","210","KENTUCKY",3626215,34562,,
"G220","1980","Louisiana","22","220","LOUISIANA",4120398,85502,,
"G230","1980","Maine","23","230","MAINE",1081258,43402,,
"G240","1980","Maryland","24","240","MARYLAND",4021394,195581,,
"G250","1980","Massachusetts","25","250","MASSACHUSETTS",5236055,500982,,
"G260","1980","Michigan","26","260","MICHIGAN",8844926,417152,,
"G270","1980","Minnesota","27","270","MINNESOTA",3968496,107474,,
"G280","1980","Mississippi","28","280","MISSISSIPPI",2497111,23527,,
"G290","1980","Missouri","29","290","MISSOURI",4831070,85616,,
"G300","1980","Montana","30","300","MONTANA",768371,18319,,
"G310","1980","Nebraska","31","310","NEBRASKA",1538824,31001,,
"G320","1980","Nevada","32","320","NEVADA",746709,53784,,
"G330","1980","New Hampshire","33","330","NEW HAMPSHIRE",879649,40961,,
"G340","1980","New Jersey","34","340","NEW JERSEY",6607001,757822,,
"G350","1980","New Mexico","35","350","NEW MEXICO",1250489,52405,,
"G360","1980","New York","36","360","NEW YORK",15169134,2388938,,
"G370","1980","North Carolina","37","370","NORTH CAROLINA",5803408,78358,,
"G380","1980","North Dakota","38","380","NORTH DAKOTA",637899,14818,,
"G390","1980","Ohio","39","390","OHIO",10495445,302185,,
"G400","1980","Oklahoma","40","400","OKLAHOMA",2968996,56294,,
"G410","1980","Oregon","41","410","OREGON",2525300,107805,,
"G420","1980","Pennsylvania","42","420","PENNSYLVANIA",11462879,401016,,
"G440","1980","Rhode Island","44","440","RHODE ISLAND",863153,84001,,
"G450","1980","South Carolina","45","450","SOUTH CAROLINA",3075740,46080,,
"G460","1980","South Dakota","46","460","SOUTH DAKOTA",681169,9599,,
"G470","1980","Tennessee","47","470","TENNESSEE",4542751,48369,,
"G480","1980","Texas","48","480","TEXAS",13372978,856213,,
"G490","1980","Utah","49","490","UTAH",1410586,50451,,
"G500","1980","Vermont","50","500","VERMONT",490461,20995,,
"G510","1980","Virginia","51","510","VIRGINIA",5169500,177318,,
"G530","1980","Washington","53","530","WASHINGTON",3893096,239060,,
"G540","1980","West Virginia","54","540","WEST VIRGINIA",1927664,21980,,
"G550","1980","Wisconsin","55","550","WISCONSIN",4580470,125297,,
"G560","1980","Wyoming","56","560","WYOMING",459950,9607,,
"G010","1990","Alabama","01","010","Alabama",3997054,43533,,
"G020","1990","Alaska","02","020","Alaska",525229,24814,,
"G040","1990","Arizona","04","040","Arizona",3387023,278205,,
"G050","1990","Arkansas","05","050","Arkansas",2325858,24867,,
"G060","1990","California","06","060","California",23301196,6458825,,
"G080","1990","Colorado","08","080","Colorado",3151960,142434,,
"G090","1990","Connecticut","09","090","Connecticut",3007733,279383,,
"G100","1990","Delaware","10","100","Delaware",643893,22275,,
"G110","1990","District Of Columbia","11","110","District of Columbia",548013,58887,,
"G120","1990","Florida","12","120","Florida",11275325,1662601,,
"G130","1990","Georgia","13","130","Georgia",6305090,173126,,
"G150","1990","Hawaii","15","150","Hawaii",945525,162704,,
"G160","1990","Idaho","16","160","Idaho",977844,28905,,
"G170","1990","Illinois","17","170","Illinois",10478330,952272,,
"G180","1990","Indiana","18","180","Indiana",5449896,94263,,
"G190","1990","Iowa","19","190","Iowa",2733439,43316,,
"G200","1990","Kansas","20","200","Kansas",2414734,62840,,
"G210","1990","Kentucky","21","210","Kentucky",3651177,34119,,
"G220","1990","Louisiana","22","220","Louisiana",4132566,87407,,
"G230","1990","Maine","23","230","Maine",1191632,36296,,
"G240","1990","Maryland","24","240","Maryland",4467974,313494,,
"G250","1990","Massachusetts","25","250","Massachusetts",5442692,573733,,
"G260","1990","Michigan","26","260","Michigan",8939904,355393,,
"G270","1990","Minnesota","27","270","Minnesota",4262060,113039,,
"G280","1990","Mississippi","28","280","Mississippi",2552833,20383,,
"G290","1990","Missouri","29","290","Missouri",5033440,83633,,
"G300","1990","Montana","30","300","Montana",785286,13779,,
"G310","1990","Nebraska","31","310","Nebraska",1550187,28198,,
"G320","1990","Nevada","32","320","Nevada",1097005,104828,,
"G330","1990","New Hampshire","33","330","New Hampshire",1068059,41193,,
"G340","1990","New Jersey","34","340","New Jersey",6763578,966610,,
"G350","1990","New Mexico","35","350","New Mexico",1434555,80514,,
"G360","1990","New York","36","360","New York",15138594,2851861,,
"G370","1990","North Carolina","37","370","North Carolina",6513560,115077,,
"G380","1990","North Dakota","38","380","North Dakota",629412,9388,,
"G390","1990","Ohio","39","390","Ohio",10587442,259673,,
"G400","1990","Oklahoma","40","400","Oklahoma",3080096,65489,,
"G410","1990","Oregon","41","410","Oregon",2703014,139307,,
"G420","1990","Pennsylvania","42","420","Pennsylvania",11512327,369316,,
"G440","1990","Rhode Island","44","440","Rhode Island",908376,95088,,
"G450","1990","South Carolina","45","450","South Carolina",3436739,49964,,
"G460","1990","South Dakota","46","460","South Dakota",688273,7731,,
"G470","1990","Tennessee","47","470","Tennessee",4818071,59114,,
"G480","1990","Texas","48","480","Texas",15462074,1524436,,
"G490","1990","Utah","49","490","Utah",1664250,58600,,
"G500","1990","Vermont","50","500","Vermont",545214,17544,,
"G510","1990","Virginia","51","510","Virginia",5875549,311809,,
"G530","1990","Washington","53","530","Washington",4544548,322144,,
"G540","1990","West Virginia","54","540","West Virginia",1777765,15712,,
"G550","1990","Wisconsin","55","550","Wisconsin",4770222,121547,,
"G560","1990","Wyoming","56","560","Wyoming",445941,7647,,
"G010","2000","Alabama","01","010","Alabama",4359328,87772,,
"G020","2000","Alaska","02","020","Alaska",589762,37170,,
"G040","2000","Arizona","04","040","Arizona",4474449,656183,,
"G050","2000","Arkansas","05","050","Arkansas",2599710,73690,,
"G060","2000","California","06","060","California",25007393,8864255,,
"G080","2000","Colorado","08","080","Colorado",3931358,369903,,
"G090","2000","Connecticut","09","090","Connecticut",3035598,369967,,
"G100","2000","Delaware","10","100","Delaware",738702,44898,,
"G110","2000","District Of Columbia","11","110","District of Columbia",498498,73561,,
"G120","2000","Florida","12","120","Florida",13311550,2670828,,
"G130","2000","Georgia","13","130","Georgia",7609180,577273,,
"G150","2000","Hawaii","15","150","Hawaii",999308,212229,,
"G160","2000","Idaho","16","160","Idaho",1229873,64080,,
"G170","2000","Illinois","17","170","Illinois",10890235,1529058,,
"G180","2000","Indiana","18","180","Indiana",5893951,186534,,
"G190","2000","Iowa","19","190","Iowa",2835239,91085,,
"G200","2000","Kansas","20","200","Kansas",2553683,134735,,
"G210","2000","Kentucky","21","210","Kentucky",3961498,80271,,
"G220","2000","Louisiana","22","220","Louisiana",4353091,115885,,
"G230","2000","Maine","23","230","Maine",1238232,36691,,
"G240","2000","Maryland","24","240","Maryland",4778171,518315,,
"G250","2000","Massachusetts","25","250","Massachusetts",5576114,772983,,
"G260","2000","Michigan","26","260","Michigan",9414855,523589,,
"G270","2000","Minnesota","27","270","Minnesota",4659016,260463,,
"G280","2000","Mississippi","28","280","Mississippi",2804750,39908,,
"G290","2000","Missouri","29","290","Missouri",5444015,151196,,
"G300","2000","Montana","30","300","Montana",885799,16396,,
"G310","2000","Nebraska","31","310","Nebraska",1636625,74638,,
"G320","2000","Nevada","32","320","Nevada",1681664,316593,,
"G330","2000","New Hampshire","33","330","New Hampshire",1181632,54154,,
"G340","2000","New Jersey","34","340","New Jersey",6938023,1476327,,
"G350","2000","New Mexico","35","350","New Mexico",1669440,149606,,
"G360","2000","New York","36","360","New York",15108324,3868133,,
"G370","2000","North Carolina","37","370","North Carolina",7619313,430000,,
"G380","2000","North Dakota","38","380","North Dakota",630086,12114,,
"G390","2000","Ohio","39","390","Ohio",11013861,339279,,
"G400","2000","Oklahoma","40","400","Oklahoma",3318907,131747,,
"G410","2000","Oregon","41","410","Oregon",3131697,289702,,
"G420","2000","Pennsylvania","42","420","Pennsylvania",11772763,508291,,
"G440","2000","Rhode Island","44","440","Rhode Island",929042,119277,,
"G450","2000","South Carolina","45","450","South Carolina",3896034,115978,,
"G460","2000","South Dakota","46","460","South Dakota",741349,13495,,
"G470","2000","Tennessee","47","470","Tennessee",5530279,159004,,
"G480","2000","Texas","48","480","Texas",17952178,2899642,,
"G490","2000","Utah","49","490","Utah",2074505,158664,,
"G500","2000","Vermont","50","500","Vermont",585582,23245,,
"G510","2000","Virginia","51","510","Virginia",6508236,570279,,
"G530","2000","Washington","53","530","Washington",5279664,614457,,
"G540","2000","West Virginia","54","540","West Virginia",1788954,19390,,
"G550","2000","Wisconsin","55","550","Wisconsin",5169924,193751,,
"G560","2000","Wyoming","56","560","Wyoming",482577,11205,,
"G010","2008-2012","Alabama","01","010","Alabama",4610592,166734,2629,2629
