ANAL,Silicate.ANL,,,,,,,
RUN ,230112A.RUN,,,,,,,
DATE,1/12/2023,,,,,,,
TIME,11:52:28 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NBay Longterm SI,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,µmol/L,,,,
Base,,,,-5425,,,,
Gain,,,,11,,,,
FIT,,,,L,,,,
COEFF,,,,0.9998,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,99.915,58034,,1,0
Drift,2,DRIF,,98.982,57508,,1,0
100,3,CALB,100,98.808,57410,,1,0
75,4,CALB,75,75.646,44354,,1,0
50,5,CALB,50,50.807,30353,,1,0
25,6,CALB,25,25.899,16313,,1,0
10,7,CALB,10,10.529,7649,,1,0
5,8,CALB,5,4.811,4426,,1,0
2,9,CALB,2,1.426,2518,,1,0
0,10,CALB,0,-0.925,1193,,1,0
High,11,HIGH,,99.542,57824,,1,0
Low,12,LOW ,,0.567,2034,,1,0
Low,13,LOW ,,0.578,2040,,1,0
DI,14,UNKNOWN,,-1.829,683,,1,0
50% EXT,15,UNKNOWN,,55.214,32837,,1,0
Drift,16,DRIF,,98.982,57508,,1,0
Baseline,17,BASL,,0,0,,1,0
CCB,18,QUAL,,-3.038,2,,1,0
MDL,19,UNKNOWN,,-0.893,1211,,1,0
CCV,20,QUAL,,49.512,29623,,1,0
,21,NULL,,0,0,,1,0
MDL,22,DSAMP,,-0.856,1232,,1,0
MDL,23,DSAMP,,-0.9,1207,,1,0
MDL,24,DSAMP,,-0.893,1211,,1,0
MDL,25,DSAMP,,-0.909,1202,,1,0
MDL,26,DSAMP,,-0.873,1222,,1,0
MDL,27,DSAMP,,-0.884,1216,,1,0
1A,28,DSAMP,,118.499,18413,,4,0
1A,29,DSAMP,,117.668,18296,,4,0
2A,30,DSAMP,,126.269,19508,,4,0
2A,31,DSAMP,,124.992,19328,,4,0
3A,32,DSAMP,,124.459,19253,,4,0
3A,33,DSAMP,,123.714,19148,,4,0
4A,34,DSAMP,,129.867,20015,,4,0
4A,35,DSAMP,,129.306,19936,,4,0
5A,36,DSAMP,,125.68,19425,,4,0
5A,37,DSAMP,,124.906,19316,,4,0
6A,38,DSAMP,,-12.065,14,,4,0
6A,39,DSAMP,,-11.817,49,,4,0
7A,40,DSAMP,,122.288,18947,,4,0
7A,41,DSAMP,,120.961,18760,,4,0
8A,42,DSAMP,,122.018,18909,,4,0
8A,43,DSAMP,,121.962,18901,,4,0
9A,44,DSAMP,,115.241,17954,,4,0
9A,45,DSAMP,,114.865,17901,,4,0
10A,46,DSAMP,,113.084,17650,,4,0
10A,47,DSAMP,,112.793,17609,,4,0
1B,48,DSAMP,,123.537,19123,,4,0
1B,49,DSAMP,,122.7,19005,,4,0
2B,50,DSAMP,,123.785,19158,,4,0
2B,51,DSAMP,,123.665,19141,,4,0
3B,52,DSAMP,,127.752,19717,,4,0
3B,53,DSAMP,,127.227,19643,,4,0
4B,54,DSAMP,,129.405,19950,,4,0
4B,55,DSAMP,,128.923,19882,,4,0
5B,56,DSAMP,,126.567,19550,,4,0
5B,57,DSAMP,,125.354,19379,,4,0
6B,58,DSAMP,,-12.001,23,,4,0
6B,59,DSAMP,,-11.796,52,,4,0
7B,60,DSAMP,,124.53,19263,,4,0
7B,61,DSAMP,,118.974,18480,,4,0
8B,62,DSAMP,,121.465,18831,,4,0
8B,63,DSAMP,,120.4,18681,,4,0
9B,64,DSAMP,,115.717,18021,,4,0
9B,65,DSAMP,,115.227,17952,,4,0
10B,66,DSAMP,,117.576,18283,,4,0
10B,67,DSAMP,,109.706,17174,,4,0
DRIFT,68,DRIF,,98.982,57508,,1,0
Baseline,69,BASL,,0,0,,1,0
CCB,70,QUAL,,0,0,,1,0
MDL,71,UNKNOWN,,-0.873,1222,,1,0
CCV,72,QUAL,,50.426,30138,,1,0
%50 REF,73,UNKNOWN,,55.391,32937,,1,0
Null,74,NULL,,0,0,,1,0
1C,75,DSAMP,,127.596,19695,,4,0
1C,76,DSAMP,,126.113,19486,,4,0
2C,77,DSAMP,,130.307,20077,,4,0
2C,78,DSAMP,,129.767,20001,,4,0
3C,79,DSAMP,,127.411,19669,,4,0
3C,80,DSAMP,,126.531,19545,,4,0
4C,81,DSAMP,,135.146,20759,,4,0
4C,82,DSAMP,,134.536,20673,,4,0
5C,83,DSAMP,,132.109,20331,,4,0
5C,84,DSAMP,,132.088,20328,,4,0
6C,85,DSAMP,,-12.051,16,,4,0
6C,86,DSAMP,,-11.789,53,,4,0
7C,87,DSAMP,,136.268,20917,,4,0
7C,88,DSAMP,,125.07,19339,,4,0
8C,89,DSAMP,,143.066,21875,,4,0
8C,90,DSAMP,,123.21,19077,,4,0
9C,91,DSAMP,,133.181,20482,,4,0
9C,92,DSAMP,,119.258,18520,,4,0
10C,93,DSAMP,,122.863,19028,,4,0
10C,94,DSAMP,,121.231,18798,,4,0
11A,95,DSAMP,,119.291,35335,,2,0
11A,96,DSAMP,,118.475,35105,,2,0
12A,97,DSAMP,,113.99,33841,,2,0
12A,98,DSAMP,,113.33,33655,,2,0
13A,99,DSAMP,,110.342,32813,,2,0
13A,100,DSAMP,,109.501,32576,,2,0
14A,101,DSAMP,,115.075,34147,,2,0
14A,102,DSAMP,,114.256,33916,,2,0
15A,103,DSAMP,,101.358,30281,,2,0
15A,104,DSAMP,,101.163,30226,,2,0
16A,105,DSAMP,,99.73,29822,,2,0
16A,106,DSAMP,,98.992,29614,,2,0
17A,107,DSAMP,,106.184,31641,,2,0
17A,108,DSAMP,,105.471,31440,,2,0
18A,109,DSAMP,,100.219,29960,,2,0
18A,110,DSAMP,,99.996,29897,,2,0
19A,111,DSAMP,,89.341,26894,,2,0
19A,112,DSAMP,,89.178,26848,,2,0
20A,113,DSAMP,,88.163,26562,,2,0
20A,114,DSAMP,,87.687,26428,,2,0
DRIFT,115,DRIF,,98.982,57508,,1,0
12B,116,BASL,,0,0,,1,0
CCB,117,QUAL,,-3.034,4,,1,0
CCV,118,QUAL,,-0.435,1469,,1,0
