ANAL,Silicate.ANL,,,,,,,
RUN ,230112B.RUN,,,,,,,
DATE,1/12/2023,,,,,,,
TIME,6:03:31 PM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NBay Longterm SI,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,æmol/L,,,,
Base,,,,-5425,,,,
Gain,,,,11,,,,
FIT,,,,L,,,,
COEFF,,,,0.9998,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,99.088,57568,,1,0
Drift,2,DRIF,,98.753,57379,,1,0
100,3,CALB,100,98.655,57324,,1,0
High,4,HIGH,,97.965,56935,,1,0
Low,5,LOW ,,-0.882,1217,,1,0
Low,6,LOW ,,-0.882,1217,,1,0
Null,7,NULL,,-3.018,13,,1,0
36B,8,DSAMP,,106.5,31730,,2,0
36B,9,DSAMP,,105.698,31504,,2,0
37B,10,DSAMP,,103.14,30783,,2,0
37B,11,DSAMP,,102.912,30719,,2,0
38B,12,DSAMP,,102.742,30671,,2,0
38B,13,DSAMP,,102.565,30621,,2,0
39B,14,DSAMP,,100.436,30021,,2,0
39B,15,DSAMP,,100.17,29946,,2,0
40B,16,DSAMP,,100.159,29943,,2,0
40B,17,DSAMP,,99.567,29776,,2,0
31C,18,DSAMP,,112.56,33438,,2,0
31C,19,DSAMP,,112.478,33415,,2,0
32C,20,DSAMP,,113.894,33814,,2,0
32C,21,DSAMP,,113.89,33813,,2,0
33C,22,DSAMP,,79.85,24219,,2,0
33C,23,DSAMP,,78.995,23978,,2,0
34C,24,DSAMP,,102.061,30479,,2,0
34C,25,DSAMP,,101.525,30328,,2,0
35C,26,DSAMP,,104.431,31147,,2,0
35C,27,DSAMP,,103.963,31015,,2,0
36C,28,DSAMP,,109.398,32547,,2,0
36C,29,DSAMP,,108.682,32345,,2,0
37C,30,DSAMP,,105.158,31352,,2,0
37C,31,DSAMP,,104.47,31158,,2,0
38C,32,DSAMP,,105.733,31514,,2,0
38C,33,DSAMP,,105.336,31402,,2,0
39C,34,DSAMP,,103.913,31001,,2,0
39C,35,DSAMP,,103.462,30874,,2,0
40C,36,DSAMP,,105.13,31344,,2,0
40C,37,DSAMP,,104.236,31092,,2,0
Drift,38,DRIF,,98.753,57379,,1,0
Baseline,39,BASL,,0,0,,1,0
Quality Cup,40,QUAL,,0,0,,1,0
Quality Cup,41,UNKNOWN,,-0.948,1180,,1,0
Quality Cup,42,QUAL,,48.408,29001,,1,0
Quality Cup,43,UNKNOWN,,53.381,31804,,1,0
Null,44,NULL,,0,0,,1,0
41A,45,DSAMP,,101.298,30264,,2,0
41A,46,DSAMP,,100.553,30054,,2,0
42A,47,DSAMP,,105.134,31345,,2,0
42A,48,DSAMP,,104.502,31167,,2,0
43A,49,DSAMP,,105.503,31449,,2,0
43A,50,DSAMP,,104.733,31232,,2,0
44A,51,DSAMP,,109.406,32549,,2,0
44A,52,DSAMP,,108.767,32369,,2,0
45A,53,DSAMP,,82.724,25029,,2,0
45A,54,DSAMP,,82.202,24882,,2,0
46A,55,DSAMP,,84.022,25395,,2,0
46A,56,DSAMP,,83.806,25334,,2,0
47A,57,DSAMP,,82.546,24979,,2,0
47A,58,DSAMP,,81.67,24732,,2,0
48A,59,DSAMP,,81.681,24735,,2,0
48A,60,DSAMP,,81.202,24600,,2,0
49A,61,DSAMP,,75.116,22885,,2,0
49A,62,DSAMP,,74.616,22744,,2,0
50A,63,DSAMP,,74.545,22724,,2,0
50A,64,DSAMP,,73.811,22517,,2,0
End,65,END ,,0,0,,1,0
