ANAL,Silicate.ANL,,,,,,,
RUN ,230123AR1.RUN,,,,,,,
DATE,1/23/2023,,,,,,,
TIME,10:12:36 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,Recalculate from Run230123A.run,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,µmol/L,,,,
Base,,,,-5435,,,,
Gain,,,,11,,,,
FIT,,,,L,,,,
COEFF,,,,0.9999,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,100.94,55969,,1,0
Drift,2,DRIF,,100.052,55507,,1,0
100,3,CALB,100,99.551,55246,,1,0
75,4,CALB,75,75.005,42475,,1,0
50,5,CALB,50,50.494,29722,,1,0
25,6,CALB,25,25.699,16821,,1,0
10,7,CALB,10,10.289,8803,,1,0
5,8,CALB,5,4.756,5924,,1,0
2,9,CALB,2,1.646,4306,,1,0
0,10,CALB,0,-0.44,3221,,1,0
High,11,HIGH,,99.852,55403,,1,0
Low,12,LOW ,,1.684,4326,,1,0
Low,13,LOW ,,1.686,4327,,1,0
DI,14,UNKNOWN,,-0.432,3225,,1,0
50% EXT,15,UNKNOWN,,55.528,32341,,1,0
Drift,16,DRIF,,100.052,55507,,1,0
Baseline,17,BASL,,-0.468,3206,,1,0
CCB,18,QUAL,,-0.451,3215,,1,0
MDL,19,UNKNOWN,,1.623,4294,,1,0
CCV,20,QUAL,,50.302,29622,,1,0
,21,NULL,,-0.468,3206,,1,0
81A,22,DSAMP,,112.198,32638,,2,0
81A,23,DSAMP,,111.729,32516,,2,0
82A,24,DSAMP,,114.646,33275,,2,0
82A,25,DSAMP,,113.628,33010,,2,0
83A,26,DSAMP,,90.795,27070,,2,0
83A,27,DSAMP,,90.203,26916,,2,0
84A,28,DSAMP,,94.035,27913,,2,0
84A,29,DSAMP,,93.57,27792,,2,0
85A,30,DSAMP,,92.548,27526,,2,0
85A,31,DSAMP,,91.494,27252,,2,0
86A,32,DSAMP,,90.756,27060,,2,0
86A,33,DSAMP,,89.961,26853,,2,0
87A,34,DSAMP,,92.455,27502,,2,0
87A,35,DSAMP,,91.683,27301,,2,0
88A,36,DSAMP,,91.233,27184,,2,0
88A,37,DSAMP,,90.945,27109,,2,0
89A,38,DSAMP,,96.584,28576,,2,0
89A,39,DSAMP,,95.834,28381,,2,0
90A,40,DSAMP,,97.81,28895,,2,0
90A,41,DSAMP,,97.187,28733,,2,0
81B,42,DSAMP,,115.192,33417,,2,0
81B,43,DSAMP,,114.473,33230,,2,0
82B,44,DSAMP,,116.268,33697,,2,0
82B,45,DSAMP,,115.323,33451,,2,0
83B,46,DSAMP,,91.871,27350,,2,0
83B,47,DSAMP,,91.613,27283,,2,0
84B,48,DSAMP,,88.396,26446,,2,0
84B,49,DSAMP,,87.22,26140,,2,0
85B,50,DSAMP,,91.617,27284,,2,0
85B,51,DSAMP,,91.583,27275,,2,0
86B,52,DSAMP,,85.552,25706,,2,0
86B,53,DSAMP,,84.717,25489,,2,0
87B,54,DSAMP,,94.754,28100,,2,0
87B,55,DSAMP,,94.243,27967,,2,0
88B,56,DSAMP,,93.639,27810,,2,0
