ANAL,Silicate.ANL,,,,,,,
RUN ,230124A.RUN,,,,,,,
DATE,1/24/2023,,,,,,,
TIME,10:01:01 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NEW STANDARDS ,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,µmol/L,,,,
Base,,,,-5435,,,,
Gain,,,,11,,,,
FIT,,,,L,,,,
COEFF,,,,1.0000,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,100.458,55636,,1,0
Drift,2,DRIF,,99.787,55287,,1,0
100,3,CALB,100,99.62,55200,,1,0
75,4,CALB,75,75.198,42498,,1,0
50,5,CALB,50,50.178,29485,,1,0
25,6,CALB,25,25.47,16634,,1,0
10,7,CALB,10,10.287,8737,,1,0
5,8,CALB,5,4.9,5935,,1,0
2,9,CALB,2,1.693,4267,,1,0
0,10,CALB,0,-0.345,3207,,1,0
High,11,HIGH,,98.989,54872,,1,0
Low,12,LOW ,,1.752,4298,,1,0
Low,13,LOW ,,1.754,4299,,1,0
DI,14,UNKNOWN,,-0.344,3208,,1,0
50% EXT NEW STOCK,15,UNKNOWN,,54.122,31536,,1,0
Drift,16,DRIF,,99.787,55287,,1,0
Baseline,17,BASL,,-0.355,3202,,1,0
CCB,18,QUAL,,-0.357,3201,,1,0
MDL,19,UNKNOWN,,1.706,4274,,1,0
CCV,20,QUAL,,50.599,29704,,1,0
,21,NULL,,-0.34,3210,,1,0
121A,22,DSAMP,,130.854,37416,,2,0
121A,23,DSAMP,,129.8,37142,,2,0
122A,24,DSAMP,,126.674,36329,,2,0
122A,25,DSAMP,,126.071,36172,,2,0
123A,26,DSAMP,,130.116,37224,,2,0
123A,27,DSAMP,,130.104,37221,,2,0
124A,28,DSAMP,,130.243,37257,,2,0
124A,29,DSAMP,,129.208,36988,,2,0
125A,30,DSAMP,,118.703,34256,,2,0
125A,31,DSAMP,,118.015,34077,,2,0
126A,32,DSAMP,,114.431,33145,,2,0
126A,33,DSAMP,,114.035,33042,,2,0
127A,34,DSAMP,,117.299,33891,,2,0
127A,35,DSAMP,,116.142,33590,,2,0
128A,36,DSAMP,,121.514,34987,,2,0
128A,37,DSAMP,,120.629,34757,,2,0
129A,38,DSAMP,,103.768,30372,,2,0
129A,39,DSAMP,,103.252,30238,,2,0
130A,40,DSAMP,,102.949,30159,,2,0
130A,41,DSAMP,,101.891,29884,,2,0
121B,42,DSAMP,,142.206,40368,,2,0
121B,43,DSAMP,,140.356,39887,,2,0
122B,44,DSAMP,,128.082,36695,,2,0
122B,45,DSAMP,,127.193,36464,,2,0
123B,46,DSAMP,,133.65,38143,,2,0
123B,47,DSAMP,,132.304,37793,,2,0
124B,48,DSAMP,,129.889,37165,,2,0
124B,49,DSAMP,,128.958,36923,,2,0
125B,50,DSAMP,,119.756,34530,,2,0
125B,51,DSAMP,,118.361,34167,,2,0
126B,52,DSAMP,,114.904,33268,,2,0
126B,53,DSAMP,,114.192,33083,,2,0
127B,54,DSAMP,,120.053,34607,,2,0
127B,55,DSAMP,,119.491,34461,,2,0
128B,56,DSAMP,,116.561,33699,,2,0
