ANAL,Silicate.ANL,,,,,,,
RUN ,230112AR1.RUN,,,,,,,
DATE,1/12/2023,,,,,,,
TIME,11:52:28 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,Recalculate from Run230112A.run,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,µmol/L,,,,
Base,,,,-5425,,,,
Gain,,,,11,,,,
FIT,,,,L,,,,
COEFF,,,,0.9998,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,99.914,58032,,1,0
Drift,2,DRIF,,98.984,57508,,1,0
100,3,CALB,100,98.809,57409,,1,0
75,4,CALB,75,75.646,44353,,1,0
50,5,CALB,50,50.806,30352,,1,0
25,6,CALB,25,25.899,16313,,1,0
10,7,CALB,10,10.528,7649,,1,0
5,8,CALB,5,4.803,4422,,1,0
2,9,CALB,2,1.424,2517,,1,0
0,10,CALB,0,-0.915,1199,,1,0
High,11,HIGH,,99.543,57823,,1,0
Low,12,LOW ,,0.565,2033,,1,0
Low,13,LOW ,,0.575,2039,,1,0
DI,14,UNKNOWN,,-1.837,679,,1,0
50% EXT,15,UNKNOWN,,55.213,32836,,1,0
Drift,16,DRIF,,98.984,57508,,1,0
Baseline,17,BASL,,0,0,,1,0
CCB,18,QUAL,,-3.038,2,,1,0
MDL,19,UNKNOWN,,-0.893,1211,,1,0
CCV,20,QUAL,,49.515,29624,,1,0
,21,NULL,,0,0,,1,0
MDL,22,DSAMP,,-0.856,1232,,1,0
MDL,23,DSAMP,,-0.901,1207,,1,0
MDL,24,DSAMP,,-0.892,1212,,1,0
MDL,25,DSAMP,,-0.908,1203,,1,0
MDL,26,DSAMP,,-0.876,1221,,1,0
MDL,27,DSAMP,,-0.883,1217,,1,0
1A,28,DSAMP,,118.5,18413,,4,0
1A,29,DSAMP,,117.677,18297,,4,0
2A,30,DSAMP,,126.27,19508,,4,0
2A,31,DSAMP,,125,19329,,4,0
3A,32,DSAMP,,124.454,19252,,4,0
3A,33,DSAMP,,123.723,19149,,4,0
4A,34,DSAMP,,129.883,20017,,4,0
4A,35,DSAMP,,129.322,19938,,4,0
5A,36,DSAMP,,125.681,19425,,4,0
5A,37,DSAMP,,124.908,19316,,4,0
6A,38,DSAMP,,-12.083,12,,4,0
6A,39,DSAMP,,-11.813,50,,4,0
7A,40,DSAMP,,122.296,18948,,4,0
7A,41,DSAMP,,120.962,18760,,4,0
8A,42,DSAMP,,122.013,18908,,4,0
8A,43,DSAMP,,121.97,18902,,4,0
9A,44,DSAMP,,115.25,17955,,4,0
9A,45,DSAMP,,114.866,17901,,4,0
10A,46,DSAMP,,113.092,17651,,4,0
10A,47,DSAMP,,112.801,17610,,4,0
1B,48,DSAMP,,123.531,19122,,4,0
1B,49,DSAMP,,122.701,19005,,4,0
2B,50,DSAMP,,123.78,19157,,4,0
2B,51,DSAMP,,123.68,19143,,4,0
3B,52,DSAMP,,127.768,19719,,4,0
3B,53,DSAMP,,127.236,19644,,4,0
4B,54,DSAMP,,129.421,19952,,4,0
4B,55,DSAMP,,128.861,19873,,4,0
5B,56,DSAMP,,126.576,19551,,4,0
5B,57,DSAMP,,125.362,19380,,4,0
6B,58,DSAMP,,-11.997,24,,4,0
6B,59,DSAMP,,-11.792,53,,4,0
7B,60,DSAMP,,124.546,19265,,4,0
7B,61,DSAMP,,118.975,18480,,4,0
8B,62,DSAMP,,121.466,18831,,4,0
8B,63,DSAMP,,120.416,18683,,4,0
9B,64,DSAMP,,115.725,18022,,4,0
9B,65,DSAMP,,115.235,17953,,4,0
10B,66,DSAMP,,117.584,18284,,4,0
10B,67,DSAMP,,109.721,17176,,4,0
DRIFT,68,DRIF,,98.984,57508,,1,0
Baseline,69,BASL,,0,0,,1,0
CCB,70,QUAL,,0,0,,1,0
MDL,71,UNKNOWN,,-0.874,1222,,1,0
CCV,72,QUAL,,50.428,30139,,1,0
%50 REF,73,UNKNOWN,,55.396,32939,,1,0
Null,74,NULL,,0,0,,1,0
1C,75,DSAMP,,127.598,19695,,4,0
1C,76,DSAMP,,126.121,19487,,4,0
2C,77,DSAMP,,130.315,20078,,4,0
2C,78,DSAMP,,129.769,20001,,4,0
3C,79,DSAMP,,127.399,19667,,4,0
3C,80,DSAMP,,126.54,19546,,4,0
4C,81,DSAMP,,135.155,20760,,4,0
4C,82,DSAMP,,134.552,20675,,4,0
5C,83,DSAMP,,132.118,20332,,4,0
5C,84,DSAMP,,132.09,20328,,4,0
6C,85,DSAMP,,-12.061,15,,4,0
6C,86,DSAMP,,-11.799,52,,4,0
7C,87,DSAMP,,136.269,20917,,4,0
7C,88,DSAMP,,125.078,19340,,4,0
8C,89,DSAMP,,143.075,21876,,4,0
8C,90,DSAMP,,123.212,19077,,4,0
9C,91,DSAMP,,133.175,20481,,4,0
9C,92,DSAMP,,119.252,18519,,4,0
10C,93,DSAMP,,122.871,19029,,4,0
10C,94,DSAMP,,121.239,18799,,4,0
11A,95,DSAMP,,119.297,35336,,2,0
11A,96,DSAMP,,118.481,35106,,2,0
12A,97,DSAMP,,113.989,33840,,2,0
12A,98,DSAMP,,113.332,33655,,2,0
13A,99,DSAMP,,110.341,32812,,2,0
13A,100,DSAMP,,109.504,32576,,2,0
14A,101,DSAMP,,115.078,34147,,2,0
14A,102,DSAMP,,114.262,33917,,2,0
15A,103,DSAMP,,101.364,30282,,2,0
15A,104,DSAMP,,101.162,30225,,2,0
16A,105,DSAMP,,99.732,29822,,2,0
16A,106,DSAMP,,98.994,29614,,2,0
17A,107,DSAMP,,106.186,31641,,2,0
17A,108,DSAMP,,105.48,31442,,2,0
18A,109,DSAMP,,100.221,29960,,2,0
18A,110,DSAMP,,99.998,29897,,2,0
19A,111,DSAMP,,89.335,26892,,2,0
19A,112,DSAMP,,89.176,26847,,2,0
20A,113,DSAMP,,88.161,26561,,2,0
20A,114,DSAMP,,87.693,26429,,2,0
DRIFT,115,DRIF,,98.984,57508,,1,0
12B,116,BASL,,0,0,,1,0
CCB,117,QUAL,,-3.037,3,,1,0
CCV,118,QUAL,,-0.744,1295,,1,0
