ANAL,Silicate.ANL,,,,,,,
RUN ,230113BR1.RUN,,,,,,,
DATE,1/13/2023,,,,,,,
TIME,2:28:32 PM,,,,,,,
OPER,BALINT,,,,,,,
COMM,Recalculate from Run230113B.run,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,µmol/L,,,,
Base,,,,-5425,,,,
Gain,,,,8,,,,
FIT,,,,L,,,,
COEFF,,,,1.0000,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,100.354,49470,,1,0
Drift,2,DRIF,,100.012,49313,,1,0
100,3,CALB,100,99.743,49189,,1,0
75,4,CALB,75,75.228,37925,,1,0
50,5,CALB,50,49.781,26233,,1,0
25,6,CALB,25,25.647,15144,,1,0
10,7,CALB,10,10.369,8124,,1,0
5,8,CALB,5,4.873,5599,,1,0
2,9,CALB,2,1.718,4149,,1,0
0,10,CALB,0,-0.359,3195,,1,0
High,11,HIGH,,99.669,49155,,1,0
Low,12,LOW ,,1.731,4155,,1,0
Low,13,LOW ,,1.731,4155,,1,0
62C,14,DSAMP,,110.453,28735,,2,0
62C,15,DSAMP,,109.67,28555,,2,0
63C,16,DSAMP,,-0.399,3268,,2,0
63C,17,DSAMP,,94.3,25024,,2,0
64C,18,DSAMP,,-0.648,3211,,2,0
64C,19,DSAMP,,-0.626,3216,,2,0
65C,20,DSAMP,,114.989,29777,,2,0
65C,21,DSAMP,,114.218,29600,,2,0
66C,22,DSAMP,,104.69,27411,,2,0
66C,23,DSAMP,,103.872,27223,,2,0
67C,24,DSAMP,,106.366,27796,,2,0
67C,25,DSAMP,,105.5,27597,,2,0
68C,26,DSAMP,,103.68,27179,,2,0
68C,27,DSAMP,,102.736,26962,,2,0
69C,28,DSAMP,,103.541,27147,,2,0
69C,29,DSAMP,,104.498,27367,,2,0
70C,30,DSAMP,,101.482,26674,,2,0
70C,31,DSAMP,,101.243,26619,,2,0
71A,32,DSAMP,,103.193,27067,,2,0
71A,33,DSAMP,,102.222,26844,,2,0
72A,34,DSAMP,,101.077,26581,,2,0
72A,35,DSAMP,,100.176,26374,,2,0
73A,36,DSAMP,,93.338,24803,,2,0
73A,37,DSAMP,,92.811,24682,,2,0
74A,38,DSAMP,,94.866,25154,,2,0
74A,39,DSAMP,,94.065,24970,,2,0
75A,40,DSAMP,,97.869,25844,,2,0
75A,41,DSAMP,,97.125,25673,,2,0
76A,42,DSAMP,,99.941,26320,,2,0
76A,43,DSAMP,,99.114,26130,,2,0
77A,44,DSAMP,,92.668,24649,,2,0
77A,45,DSAMP,,91.902,24473,,2,0
78A,46,DSAMP,,96.058,25428,,2,0
78A,47,DSAMP,,96.172,25454,,2,0
79A,48,DSAMP,,105.756,27656,,2,0
79A,49,DSAMP,,105.465,27589,,2,0
80A,50,DSAMP,,105.635,27628,,2,0
80A,51,DSAMP,,104.842,27446,,2,0
Drift,52,DRIF,,100.012,49313,,1,0
Baseline,53,BASL,,-0.356,3196,,1,0
CCB,54,QUAL,,-0.369,3190,,1,0
MDL,55,UNKNOWN,,1.679,4131,,1,0
CCV,56,QUAL,,50.53,26577,,1,0
50% REF,57,UNKNOWN,,55.305,28771,,1,0
Null,58,NULL,,-0.383,3184,,1,0
71B,59,DSAMP,,97.582,25778,,2,0
71B,60,DSAMP,,96.907,25623,,2,0
72B,61,DSAMP,,97.995,25873,,2,0
72B,62,DSAMP,,97.499,25759,,2,0
73B,63,DSAMP,,94.635,25101,,2,0
73B,64,DSAMP,,94.252,25013,,2,0
74B,65,DSAMP,,96.559,25543,,2,0
74B,66,DSAMP,,96.176,25455,,2,0
75B,67,DSAMP,,100.246,26390,,2,0
75B,68,DSAMP,,99.471,26212,,2,0
76B,69,DSAMP,,98.605,26013,,2,0
76B,70,DSAMP,,98.213,25923,,2,0
77B,71,DSAMP,,89.399,23898,,2,0
77B,72,DSAMP,,88.72,23742,,2,0
78B,73,DSAMP,,97.312,25716,,2,0
78B,74,DSAMP,,96.881,25617,,2,0
79B,75,DSAMP,,109.108,28426,,2,0
79B,76,DSAMP,,108.494,28285,,2,0
80B,77,DSAMP,,107.985,28168,,2,0
80B,78,DSAMP,,107.027,27948,,2,0
71C,79,DSAMP,,96.459,25520,,2,0
71C,80,DSAMP,,96.215,25464,,2,0
72C,81,DSAMP,,99.353,26185,,2,0
72C,82,DSAMP,,98.866,26073,,2,0
73C,83,DSAMP,,97.73,25812,,2,0
73C,84,DSAMP,,97.795,25827,,2,0
74C,85,DSAMP,,101.321,26637,,2,0
74C,86,DSAMP,,100.794,26516,,2,0
75C,87,DSAMP,,101.795,26746,,2,0
75C,88,DSAMP,,100.973,26557,,2,0
76C,89,DSAMP,,100.041,26343,,2,0
76C,90,DSAMP,,99.58,26237,,2,0
77C,91,DSAMP,,91.005,24267,,2,0
77C,92,DSAMP,,90.922,24248,,2,0
78C,93,DSAMP,,182.888,45376,,2,0
78C,94,DSAMP,,181.713,45106,,2,0
79C,95,DSAMP,,110.662,28783,,2,0
79C,96,DSAMP,,110.257,28690,,2,0
80C,97,DSAMP,,111.437,28961,,2,0
80C,98,DSAMP,,110.34,28709,,2,0
62B,99,DSAMP,,97.351,25725,,2,0
62B,100,DSAMP,,97.229,25697,,2,0
69B,101,DSAMP,,97.055,25657,,2,0
69B,102,DSAMP,,96.668,25568,,2,0
70B,103,DSAMP,,99.227,26156,,2,0
70B,104,DSAMP,,98.344,25953,,2,0
61C,105,DSAMP,,111.55,28987,,2,0
61C,106,DSAMP,,110.627,28775,,2,0
62C,107,DSAMP,,110.109,28656,,2,0
62C,108,DSAMP,,108.729,28339,,2,0
63C,109,DSAMP,,112.007,29092,,2,0
63C,110,DSAMP,,111.089,28881,,2,0
64C,111,DSAMP,,116.569,30140,,2,0
64C,112,DSAMP,,117.021,30244,,2,0
DRIFT,113,DRIF,,100.012,49313,,1,0
Baseline,114,BASL,,-0.356,3196,,1,0
CCB,115,QUAL,,-0.341,3203,,1,0
MDL,116,UNKNOWN,,1.689,4136,,1,0
CCV,117,QUAL,,49.339,26030,,1,0
